rank,character,read_value,candidates,correct
1,King Dedede,100.0,{'100.0': 3},
1,Robin,100.0,{'100.0': 3},
1,Shulk,100.0,{'100.0': 3},
4,Zelda,66.66,{'66.66': 3},
4,Wii Fit Trainer,66.66,{'66.66': 3},
6,Bowser,54.0,{'54.0': 3},
7,Young Link,50.0,{'50.0': 3},
7,Pokemon Trainer,50.0,{'50.0': 3},
9,Lucina,33.33,"{'332.35': 2, '33.33': 1}",
10,Toon Link,28.57,"{'0.28': 2, '28.57': 1}",
11,Hero,28.0,{'28.0': 3},
12,Donkey Kong,22.22,{'22.22': 3},
13,Joker,22.0,{'22.0': 3},
14,Captain Falcon,20.0,{'20.0': 3},
15,Byleth,16.66,{'16.66': 3},
16,Link,16.0,{'16.0': 3},
17,Mii Gunner,13.95,{'13.95': 3},
18,Ganondorf,13.33,{'13.33': 3},
19,Mii Swordsman,10.81,{'10.81': 3},
20,Mii Brawler,4.0,{'4.0': 3},
21,Samus,0.0,{'0.0': 3},
21,Fox,0.0,{'0.0': 3},
21,Pikachu,0.0,{'0.0': 6},
21,Peach,0.0,{'0.0': 3},
21,Sheik,0.0,{'0.0': 3},
21,Dr Mario,0.0,{'0.0': 3},
21,Falco,0.0,{'0.0': 3},
21,Marth,0.0,{'0.0': 3},
21,Roy,0.0,{'0.0': 3},
21,Meta Knight,0.0,{'0.0': 3},
21,Pit,0.0,{'0.0': 3},
21,Zero Suit Samus,0.0,{'0.0': 3},
21,Wario,0.0,{'0.0': 3},
21,Sonic,0.0,{'0.0': 3},
21,Olimar,0.0,{'0.0': 3},
21,Sephiroth,0.0,{'0.0': 6},
21,Mega Man,0.0,{'0.0': 3},
21,Greninja,0.0,{'0.0': 3},
21,Ryu,0.0,{'0.0': 3},
21,Corrin,0.0,{'0.0': 3},
21,Bayonetta,0.0,{'0.0': 3},
21,Ridley,0.0,{'0.0': 3},
21,King K Rool,0.0,{'0.0': 3},
21,Piranha Plant,0.0,{'0.0': 3},
21,Banjo and Kazooie,0.0,{'0.0': 6},
21,Terry,0.0,{'0.0': 3},
21,Mario,0.0,{'0.0': 3},
21,Dark Samus,0.0,{'0.0': 3},
21,Yoshi,0.0,{'0.0': 3},
21,Kirby,0.0,{'0.0': 3},
21,Luigi,0.0,{'0.0': 3},
21,Ness,0.0,{'0.0': 6},
21,Jigglypuff,0.0,{'0.0': 3},
21,Daisy,0.0,{'0.0': 3},
21,Ice Climbers,0.0,{'0.0': 3},
21,Pichu,0.0,{'0.0': 3},
21,Mewtwo,0.0,{'0.0': 3},
21,Chrom,0.0,{'0.0': 3},
21,Mr Game and Watch,0.0,{'0.0': 3},
21,Dark Pit,0.0,{'0.0': 3},
21,Snake,0.0,{'0.0': 3},
21,Ike,0.0,{'0.0': 3},
21,Diddy Kong,0.0,{'0.0': 3},
21,Lucas,0.0,{'0.0': 3},
21,Lucario,0.0,{'0.0': 3},
21,ROB,0.0,{'0.0': 3},
21,Villager,0.0,{'0.0': 3},
21,Rosalina and Luma,0.0,{'0.0': 3},
21,Little Mac,0.0,{'0.0': 3},
21,Palutena,0.0,{'0.0': 3},
21,Pac-Man,0.0,{'0.0': 3},
21,Bowser Jr,0.0,{'0.0': 3},
21,Duck Hunt,0.0,{'0.0': 3},
21,Ken,0.0,{'0.0': 3},
21,Cloud,0.0,{'0.0': 3},
21,Inkling,0.0,{'0.0': 3},
21,Simon,0.0,{'0.0': 3},
21,Richter,0.0,{'0.0': 3},
21,Isabelle,0.0,{'0.0': 6},
21,Incineroar,0.0,{'0.0': 6},
21,Min Min,0.0,{'0.0': 6},
21,Steve,0.0,{'0.0': 3},
21,Pyra-Mythra,0.0,{'0.0': 3},
21,Kazuya,0.0,{'0.0': 3},
21,Sora,0.0,{'0.0': 3},
