rank,character,read_value,candidates,correct
1,Lucina,3.0,{'3.0': 3},
1,Wolf,3.0,"{'3.0': 3, '2.83': 3, '2.68': 3}",
1,Bayonetta,3.0,{'3.0': 3},
1,Joker,3.0,{'3.0': 3},
1,Min Min,3.0,{'3.0': 3},
1,Mii Brawler,3.0,{'3.0': 3},
7,Peach,2.88,{'2.88': 3},
7,Sheik,2.88,{'2.88': 3},
9,Fox,2.86,{'2.86': 3},
10,Jigglypuff,2.83,{'2.83': 3},
10,Pichu,2.83,{'2.83': 3},
10,Marth,2.83,{'2.83': 3},
10,Zero Suit Samus,2.83,{'2.83': 3},
14,Little Mac,2.81,{'2.81': 3},
15,Falco,2.8,{'2.8': 3},
15,Byleth,2.8,{'2.8': 3},
17,Captain Falcon,2.79,{'2.79': 3},
17,Dr Mario,2.79,"{'0.29': 2, '2.79': 1}",
19,Ken,2.78,{'2.78': 3},
19,Richter,2.78,{'2.78': 3},
21,Donkey Kong,2.77,{'2.77': 3},
21,Simon,2.77,{'2.77': 3},
21,Sora,2.77,{'2.77': 3},
24,Kirby,2.76,{'2.76': 3},
24,Ganondorf,2.76,"{'0.2': 2, '2.76': 1}",
24,Mega Man,2.76,{'2.76': 3},
27,Dark Samus,2.75,{'2.75': 3},
27,Pikachu,2.75,{'2.75': 3},
27,Ice Climbers,2.75,"{'2.49': 2, '2.75': 1}",
27,Rosalina and Luma,2.75,{'2.75': 3},
27,Ryu,2.75,{'2.75': 3},
27,Cloud,2.75,"{'2.13': 2, '2.75': 1}",
27,Mii Swordsman,2.75,{'2.75': 3},
34,Luigi,2.74,{'2.74': 3},
34,ROB,2.74,{'2.74': 3},
34,Incineroar,2.74,{'2.74': 3},
34,Hero,2.74,{'2.74': 3},
38,Snake,2.73,"{'2.03': 2, '2.73': 1}",
39,Ness,2.71,{'2.71': 3},
39,Bowser,2.71,{'2.71': 3},
41,Mewtwo,2.7,{'2.7': 3},
42,Mario,2.66,{'2.66': 3},
42,Chrom,2.66,{'2.66': 3},
42,Lucario,2.66,{'2.66': 3},
42,Toon Link,2.66,{'2.66': 3},
42,Isabelle,2.66,{'2.66': 3},
42,Piranha Plant,2.66,{'2.66': 3},
48,King Dedede,2.65,{'2.65': 3},
49,Diddy Kong,2.64,{'2.64': 3},
50,Pit,2.63,{'2.63': 3},
50,Greninja,2.63,"{'276.35': 2, '2.63': 1}",
50,Inkling,2.63,{'2.63': 3},
50,Sephiroth,2.63,{'2.63': 3},
54,Lucas,2.62,{'2.62': 3},
55,Kazuya,2.6,{'2.6': 3},
56,King K Rool,2.59,"{'2.99': 2, '2.59': 1}",
57,Sonic,2.57,"{'2.97': 2, '2.57': 1}",
58,Steve,2.54,{'2.54': 3},
59,Villager,2.53,"{'25.35': 2, '2.53': 1}",
60,Zelda,2.52,"{'2.02': 2, '2.52': 1}",
61,Daisy,2.5,{'2.5': 3},
61,Palutena,2.5,{'2.5': 3},
61,Shulk,2.5,{'2.5': 3},
61,Duck Hunt,2.5,{'2.5': 3},
61,Ridley,2.5,{'2.5': 3},
66,Samus,2.46,{'2.46': 3},
67,Pac-Man,2.45,{'2.45': 3},
68,Roy,2.42,{'2.42': 3},
69,Terry,2.37,"{'2.31': 2, '2.37': 1}",
70,Pokemon Trainer,2.35,"{'2.35': 2, '2.33': 1}",
71,Bowser Jr,2.32,{'2.32': 3},
72,Wii Fit Trainer,2.31,{'2.31': 3},
73,Link,2.27,{'2.27': 1},
74,Ike,2.2,"{'2.2': 2, '2.25': 1}",
75,Mr Game and Watch,2.21,{'2.21': 3},
76,Robin,2.14,{'2.14': 3},
77,Young Link,2.13,"{'0.23': 2, '2.13': 3, '24.13': 1}",
78,Dark Pit,2.0,{'2.0': 6},
78,Olimar,2.0,{'2.0': 3},
78,Corrin,2.0,{'2.0': 3},
78,Banjo and Kazooie,2.0,{'2.0': 3},
78,Mii Gunner,2.0,{'2.0': 3},
83,Yoshi,1.85,{'1.85': 3},
84,Pyra-Mythra,1.66,{'1.66': 3},
