rank,character,read_value,candidates,correct
1,Piranha Plant,480.0,{'480': 3},
2,Byleth,403.0,{'403': 3},
3,Corrin,383.0,{'383': 3},
4,Robin,381.0,{'381': 3},
5,Palutena,319.0,{'319': 3},
6,Incineroar,273.0,{'273': 3},
7,Dark Pit,150.0,{'150': 3},
8,Banjo and Kazooie,86.0,{'86': 6},
9,Ridley,63.0,{'63': 3},
10,Mewtwo,61.0,{'61': 3},
11,Roy,59.0,{'59': 3},
12,Zelda,56.0,"{'96': 2, '56': 1}",
13,Rosalina and Luma,50.0,"{'90': 2, '50': 1}",
14,Ike,48.0,{'48': 3},
15,Lucina,44.0,{'44': 3},
16,Ganondorf,40.0,{'40': 3},
16,Hero,40.0,{'40': 3},
18,Shulk,35.0,{'35': 3},
19,Pit,34.0,{'34': 3},
20,Captain Falcon,30.0,{'30': 3},
21,Toon Link,29.0,{'29': 3},
22,Pokemon Trainer,27.0,"{'2': 2, '27': 1}",
23,Bowser Jr,26.0,{'26': 6},
24,Marth,22.0,{'22': 3},
24,Chrom,22.0,{'22': 3},
24,Greninja,22.0,{'22': 3},
27,Samus,21.0,{'21': 3},
28,Duck Hunt,20.0,"{'20': 2, '200': 1}",
29,Lucario,18.0,{'18': 3},
30,Yoshi,15.0,"{'15': 4, '150': 2}",
30,Joker,15.0,{'15': 3},
32,Dark Samus,13.0,{'13': 3},
33,Pikachu,12.0,{'12': 3},
33,Daisy,12.0,{'12': 3},
35,King K Rool,9.0,{'9': 2},
36,Bowser,8.0,{'8': 2},
36,Inkling,8.0,{'8': 4},
38,Young Link,7.0,{'7': 1},
39,Mario,6.0,{'6': 3},
39,Link,6.0,{'6': 3},
39,Wario,6.0,{'6': 3},
39,Wolf,6.0,{'6': 3},
39,Wii Fit Trainer,6.0,{'6': 3},
39,Ken,6.0,{'6': 6},
39,Cloud,6.0,{'6': 3},
39,Mii Gunner,6.0,{'6': 3},
47,Ice Climbers,5.0,{'5': 3},
47,Sephiroth,5.0,"{'9': 2, '5': 1}",
49,Donkey Kong,3.0,{'3': 3},
49,Falco,3.0,{'3': 3},
49,Meta Knight,3.0,{'3': 3},
49,Zero Suit Samus,3.0,{'3': 3},
49,ROB,3.0,{'3': 3},
49,Mega Man,3.0,{'3': 3},
49,Mii Brawler,3.0,{'3': 3},
56,Jigglypuff,2.0,{'2': 3},
56,Dr Mario,2.0,{'2': 3},
56,Olimar,2.0,{'2': 3},
56,Villager,2.0,{'2': 6},
56,Pac-Man,2.0,{'2': 3},
56,Min Min,2.0,{'2': 3},
56,Pyra-Mythra,2.0,{'2': 3},
63,Kirby,1.0,{'1': 3},
64,Fox,0.0,{'0': 1},
64,Luigi,0.0,{'0': 1},
64,Ness,0.0,{'0': 2},
64,Peach,0.0,{'0': 1},
64,Sheik,0.0,{'0': 1},
64,Pichu,0.0,{'0': 1},
64,Mr Game and Watch,0.0,{'0': 1},
64,Snake,0.0,{'0': 2},
64,Diddy Kong,0.0,{'0': 2},
64,Lucas,0.0,{'0': 3},
64,Sonic,0.0,{'0': 2},
64,King Dedede,0.0,{'0': 3},
64,Little Mac,0.0,{'0': 1},
64,Ryu,0.0,{'0': 2},
64,Bayonetta,0.0,{'0': 1},
64,Simon,0.0,{'0': 2},
64,Richter,0.0,{'0': 2},
64,Isabelle,0.0,{'0': 1},
64,Terry,0.0,{'0': 1},
64,Steve,0.0,{'0': 2},
64,Kazuya,0.0,{'0': 2},
64,Sora,0.0,{'0': 2},
64,Mii Swordsman,0.0,{'0': 3},
