rank,character,read_value,candidates,correct
1,Donkey Kong,648.0,{'648': 3},
2,Kirby,521.0,"{'521': 4, '921': 2}",
3,Lucas,407.0,{'407': 6},
4,Mr Game and Watch,208.0,{'208': 6},
5,Samus,170.0,{'170': 6},
6,Lucina,87.0,"{'87': 2, '7': 2}",
7,Pikachu,35.0,{'35': 6},
8,Bowser,30.0,"{'30': 5, '300': 1}",
8,Mii Gunner,30.0,{'30': 3},
10,Steve,29.0,"{'29': 2, '25': 1}",
11,ROB,24.0,{'24': 3},
12,Kazuya,22.0,{'22': 3},
13,Captain Falcon,20.0,"{'20': 2, '200': 1}",
14,Pyra-Mythra,19.0,{'19': 3},
15,Snake,18.0,{'18': 3},
16,Ike,14.0,{'14': 3},
17,Byleth,13.0,{'13': 3},
18,Ganondorf,11.0,"{'11': 2, '1': 1}",
19,Ness,10.0,{'10': 3},
19,Marth,10.0,{'10': 3},
21,Jigglypuff,9.0,"{'9': 1, '2': 1}",
21,Joker,9.0,"{'9': 1, '2': 1}",
21,Yoshi,9.0,"{'9': 2, '5': 1}",
21,Pichu,9.0,"{'9': 2, '5': 1}",
25,Piranha Plant,7.0,{'7': 3},
26,Daisy,4.0,{'4': 3},
26,Isabelle,4.0,{'4': 3},
28,Fox,3.0,{'3': 3},
28,Peach,3.0,{'3': 3},
28,Ice Climbers,3.0,{'3': 3},
28,Diddy Kong,3.0,{'3': 1},
28,Olimar,3.0,{'3': 3},
28,Wolf,3.0,{'3': 3},
28,Wii Fit Trainer,3.0,{'3': 3},
28,Cloud,3.0,{'3': 3},
28,Inkling,3.0,{'3': 3},
28,Mii Swordsman,3.0,{'3': 3},
38,Dark Samus,2.0,{'2': 3},
38,Zelda,2.0,{'2': 3},
38,Falco,2.0,{'2': 3},
38,Young Link,2.0,{'2': 3},
38,Mewtwo,2.0,{'2': 3},
38,Roy,2.0,{'2': 3},
38,Zero Suit Samus,2.0,{'2': 3},
38,Wario,2.0,{'2': 6},
38,Pokemon Trainer,2.0,{'2': 3},
38,Sonic,2.0,{'2': 3},
38,Villager,2.0,{'2': 3},
38,Ridley,2.0,{'2': 3},
38,King K Rool,2.0,{'2': 3},
38,Mii Brawler,2.0,{'2': 3},
52,Chrom,1.0,{'1': 6},
52,Pit,1.0,{'1': 3},
52,Dark Pit,1.0,{'1': 3},
52,Toon Link,1.0,{'1': 3},
52,Mega Man,1.0,{'1': 3},
52,Greninja,1.0,{'1': 3},
52,Palutena,1.0,{'1': 3},
52,Pac-Man,1.0,{'1': 6},
52,Shulk,1.0,{'1': 3},
52,Bowser Jr,1.0,{'1': 3},
52,Duck Hunt,1.0,{'1': 3},
52,Ryu,1.0,{'1': 3},
52,Ken,1.0,{'1': 3},
52,Banjo and Kazooie,1.0,{'1': 3},
52,Terry,1.0,{'1': 6},
52,Min Min,1.0,{'1': 3},
68,Link,0.0,{'0': 2},
68,Luigi,0.0,{'0': 2},
68,Sheik,0.0,{'0': 3},
68,Dr Mario,0.0,{'0': 2},
68,Meta Knight,0.0,{'0': 1},
68,King Dedede,0.0,{'0': 4},
68,Lucario,0.0,{'0': 2},
68,Rosalina and Luma,0.0,{'0': 3},
68,Little Mac,0.0,{'0': 1},
68,Robin,0.0,{'0': 1},
68,Corrin,0.0,{'0': 4},
68,Bayonetta,0.0,{'0': 2},
68,Simon,0.0,{'0': 4},
68,Richter,0.0,{'0': 2},
68,Incineroar,0.0,{'0': 1},
68,Hero,0.0,{'0': 2},
68,Sephiroth,0.0,{'0': 1},
68,Sora,0.0,{'0': 1},
