rank,character,read_value,candidates,correct
1,Hero,49.0,{'49': 3},
2,Donkey Kong,43.0,{'43': 3},
3,Ganondorf,35.0,{'35': 3},
4,Captain Falcon,30.0,{'30': 3},
5,Snake,20.0,"{'20': 2, '200': 1}",
6,Pokemon Trainer,15.0,{'15': 3},
6,Wolf,15.0,"{'15': 2, '150': 1, '6': 6, '4': 3}",
8,Link,13.0,{'13': 3},
9,Falco,12.0,{'12': 3},
9,Villager,12.0,{'12': 3},
9,Shulk,12.0,{'12': 3},
12,Daisy,10.0,{'10': 3},
12,Marth,10.0,{'10': 3},
12,Young Link,10.0,{'10': 3},
12,Sephiroth,10.0,{'10': 3},
16,Jigglypuff,9.0,"{'9': 2, '3': 1}",
16,Ice Climbers,9.0,{'9': 3},
16,Cloud,9.0,{'9': 2},
16,Bayonetta,9.0,{'9': 2},
20,Yoshi,8.0,{'8': 3},
20,Ness,8.0,{'8': 3},
20,Mewtwo,8.0,{'8': 3},
20,Ike,8.0,{'8': 3},
20,Sonic,8.0,{'8': 3},
20,ROB,8.0,{'8': 2},
20,Palutena,8.0,{'8': 2},
20,Corrin,8.0,{'8': 3},
28,Samus,7.0,{'7': 1},
29,Mario,6.0,{'6': 3},
29,Dark Samus,6.0,{'6': 3},
29,Luigi,6.0,{'6': 3},
29,Bowser,6.0,{'6': 3},
29,Zelda,6.0,{'6': 2},
29,Dr Mario,6.0,{'6': 3},
29,Lucina,6.0,{'6': 3},
29,Roy,6.0,{'6': 3},
29,Diddy Kong,6.0,{'6': 3},
29,Lucas,6.0,{'6': 3},
29,Little Mac,6.0,{'6': 3},
29,Ridley,6.0,{'6': 3},
29,Incineroar,6.0,{'6': 3},
29,Banjo and Kazooie,6.0,{'6': 3},
43,Fox,5.0,{'5': 2},
43,Sheik,5.0,"{'9': 2, '5': 1}",
43,Mr Game and Watch,5.0,"{'3': 2, '5': 1}",
43,Dark Pit,5.0,{'5': 3},
43,Olimar,5.0,"{'9': 2, '5': 1}",
43,Wii Fit Trainer,5.0,"{'9': 2, '5': 1}",
43,Robin,5.0,{'5': 1},
43,Richter,5.0,"{'5': 2, '3': 2}",
43,Isabelle,5.0,"{'9': 2, '5': 1}",
43,Joker,5.0,{'5': 3},
53,Chrom,4.0,{'4': 3},
53,Zero Suit Samus,4.0,{'4': 3},
55,Pikachu,3.0,{'3': 3},
55,Peach,3.0,{'3': 3},
55,Pichu,3.0,{'3': 3},
55,Ken,3.0,{'3': 3},
55,Inkling,3.0,{'3': 3},
55,Piranha Plant,3.0,{'3': 1},
55,Min Min,3.0,{'3': 3},
55,Steve,3.0,{'3': 3},
55,Mii Gunner,3.0,{'3': 3},
64,Kirby,2.0,{'2': 3},
64,Pit,2.0,{'2': 3},
64,Lucario,2.0,{'2': 3},
64,Mega Man,2.0,{'2': 3},
64,Pac-Man,2.0,{'2': 3},
64,Duck Hunt,2.0,{'2': 3},
64,Ryu,2.0,{'2': 3},
64,Terry,2.0,{'2': 3},
64,Byleth,2.0,{'2': 3},
64,Sora,2.0,{'2': 3},
64,Mii Brawler,2.0,{'2': 3},
75,Simon,1.0,{'1': 3},
76,King Dedede,0.0,{'0': 2},
76,Toon Link,0.0,{'0': 5},
76,Rosalina and Luma,0.0,{'0': 5},
76,Greninja,0.0,{'0': 2},
76,Bowser Jr,0.0,{'0': 1},
76,King K Rool,0.0,{'0': 3},
76,Pyra-Mythra,0.0,{'0': 3},
76,Kazuya,0.0,{'0': 1},
76,Mii Swordsman,0.0,{'0': 3},
