rank,character,read_value,candidates,correct
1,Hero,44615.0,{'44615': 1},
2,Incineroar,36301.0,{'36301': 3},
3,Ike,26952.0,{'26952': 3},
4,King K Rool,21430.0,{'21430': 3},
5,Byleth,19334.0,{'19334': 3},
6,Bowser,18132.0,{'18132': 3},
7,Corrin,15183.0,{'15183': 3},
8,Donkey Kong,13051.0,{'13051': 4},
9,Mewtwo,10456.0,{'10456': 3},
10,Sephiroth,9995.0,{'9995': 3},
11,Pyra-Mythra,7091.0,{'7091': 3},
12,Ganondorf,4868.0,{'4868': 3},
13,Kirby,3747.0,{'3747': 3},
14,Min Min,1607.0,{'1607': 3},
15,Roy,1526.0,{'1526': 3},
16,Kazuya,1160.0,{'1160': 3},
17,Little Mac,1086.0,{'1086': 3},
18,Sora,861.0,{'861': 3},
19,Sonic,682.0,{'682': 3},
20,Inkling,641.0,{'641': 3},
21,Lucina,523.0,"{'923': 2, '523': 1}",
22,Captain Falcon,476.0,{'476': 3},
23,Isabelle,448.0,{'448': 3},
24,Mii Gunner,433.0,{'433': 3},
25,Palutena,418.0,{'418': 3},
26,Wii Fit Trainer,407.0,{'407': 3},
27,Wolf,406.0,{'406': 3},
28,Duck Hunt,368.0,{'368': 3},
29,Joker,331.0,{'331': 3},
30,Steve,302.0,{'302': 3},
31,Robin,272.0,"{'22': 2, '272': 1}",
32,Cloud,264.0,{'264': 3},
33,Villager,214.0,{'214': 3},
34,Samus,193.0,{'193': 3},
35,Jigglypuff,168.0,{'168': 3},
36,Fox,84.0,{'84': 3},
37,Peach,69.0,{'69': 6},
38,Mario,0.0,{'0': 2},
38,Link,0.0,{'0': 1},
38,Dark Samus,0.0,{'0': 1},
38,Yoshi,0.0,{'0': 2},
38,Pikachu,0.0,{'0': 2},
38,Luigi,0.0,{'0': 2},
38,Ness,0.0,{'0': 2},
38,Daisy,0.0,{'0': 2},
38,Ice Climbers,0.0,{'0': 1},
38,Sheik,0.0,{'0': 2},
38,Zelda,0.0,{'0': 2},
38,Dr Mario,0.0,{'0': 1},
38,Pichu,0.0,{'0': 1},
38,Falco,0.0,{'0': 1},
38,Marth,0.0,{'0': 1},
38,Young Link,0.0,{'0': 1},
38,Chrom,0.0,{'0': 2},
38,Mr Game and Watch,0.0,{'0': 2},
38,Meta Knight,0.0,{'0': 1},
38,Pit,0.0,"{'0': 1, '6': 1}",
38,Dark Pit,0.0,{'0': 2},
38,Zero Suit Samus,0.0,{'0': 2},
38,Wario,0.0,{'0': 1},
38,Snake,0.0,{'0': 2},
38,Pokemon Trainer,0.0,{'0': 2},
38,Diddy Kong,0.0,{'0': 3},
38,Lucas,0.0,{'0': 2},
38,King Dedede,0.0,{'0': 2},
38,Olimar,0.0,{'0': 1},
38,Lucario,0.0,{'0': 1},
38,ROB,0.0,{'0': 1},
38,Toon Link,0.0,{'0': 2},
38,Mega Man,0.0,{'0': 2},
38,Rosalina and Luma,0.0,{'0': 2},
38,Greninja,0.0,{'0': 2},
38,Pac-Man,0.0,{'0': 2},
38,Shulk,0.0,{'0': 3},
38,Bowser Jr,0.0,{'0': 2},
38,Ryu,0.0,{'0': 2},
38,Ken,0.0,{'0': 2},
38,Bayonetta,0.0,{'0': 3},
38,Ridley,0.0,{'0': 3},
38,Simon,0.0,{'0': 3},
38,Richter,0.0,{'0': 1},
38,Piranha Plant,0.0,{'0': 1},
38,Banjo and Kazooie,0.0,{'0': 2},
38,Terry,0.0,{'0': 1},
38,Mii Brawler,0.0,{'0': 1},
38,Mii Swordsman,0.0,{'0': 1},
