rank,character,read_value,candidates,correct
1,Link,15113.0,{'15113': 1},
2,Snake,13773.0,"{'13773': 2, '1373': 1}",
3,Cloud,12542.0,{'12542': 3},
4,Sonic,10247.0,{'10247': 3},
5,Ike,9851.0,{'9851': 3},
6,Min Min,9751.0,{'9751': 6},
7,Donkey Kong,9201.0,{'9201': 6},
8,Ganondorf,6271.0,{'6271': 6},
9,Young Link,5390.0,"{'9390': 2, '5390': 1}",
10,Mii Swordsman,3862.0,{'3862': 3},
11,Byleth,2653.0,{'2653': 3},
12,Samus,2267.0,{'2267': 3},
13,Captain Falcon,746.0,{'746': 3},
14,Joker,580.0,"{'980': 2, '580': 1}",
15,Little Mac,561.0,{'561': 3},
16,Palutena,467.0,{'467': 3},
17,Zelda,398.0,{'398': 3},
18,Chrom,387.0,{'387': 3},
19,King K Rool,365.0,{'365': 3},
20,Marth,351.0,{'351': 3},
21,Kirby,337.0,"{'7': 2, '337': 1}",
22,Lucario,305.0,{'305': 3},
23,Lucina,301.0,{'301': 3},
24,Pyra-Mythra,274.0,{'274': 3},
25,Pac-Man,271.0,{'271': 3},
26,Sheik,264.0,{'264': 3},
27,Bowser,253.0,{'253': 3},
28,Diddy Kong,227.0,{'227': 3},
29,Ness,214.0,{'214': 3},
30,Sora,203.0,{'203': 3},
31,King Dedede,202.0,{'202': 3},
32,Luigi,172.0,{'172': 3},
33,Wario,171.0,"{'171': 2, '71': 1}",
34,Bayonetta,152.0,{'152': 3},
35,Ridley,116.0,{'116': 3},
36,Fox,88.0,{'88': 3},
37,Mario,0.0,{'0': 1},
37,Dark Samus,0.0,{'0': 1},
37,Yoshi,0.0,{'0': 2},
37,Pikachu,0.0,{'0': 1},
37,Jigglypuff,0.0,{'0': 1},
37,Peach,0.0,{'0': 3},
37,Daisy,0.0,{'0': 2},
37,Ice Climbers,0.0,{'0': 2},
37,Dr Mario,0.0,{'0': 1},
37,Pichu,0.0,{'0': 2},
37,Falco,0.0,{'0': 1},
37,Mewtwo,0.0,{'0': 1},
37,Roy,0.0,{'0': 3},
37,Mr Game and Watch,0.0,{'0': 2},
37,Meta Knight,0.0,{'0': 1},
37,Pit,0.0,{'0': 1},
37,Dark Pit,0.0,{'0': 2},
37,Zero Suit Samus,0.0,{'0': 2},
37,Pokemon Trainer,0.0,{'0': 2},
37,Lucas,0.0,{'0': 1},
37,Olimar,0.0,{'0': 1},
37,ROB,0.0,{'0': 2},
37,Toon Link,0.0,{'0': 2},
37,Wolf,0.0,{'0': 2},
37,Villager,0.0,{'0': 1},
37,Mega Man,0.0,{'0': 1},
37,Wii Fit Trainer,0.0,{'0': 2},
37,Rosalina and Luma,0.0,{'0': 2},
37,Greninja,0.0,{'0': 1},
37,Robin,0.0,{'0': 2},
37,Shulk,0.0,{'0': 1},
37,Bowser Jr,0.0,{'0': 1},
37,Duck Hunt,0.0,{'0': 2},
37,Ryu,0.0,{'0': 2},
37,Ken,0.0,{'0': 2},
37,Corrin,0.0,{'0': 1},
37,Inkling,0.0,{'0': 1},
37,Simon,0.0,{'0': 2},
37,Richter,0.0,{'0': 2},
37,Isabelle,0.0,{'0': 2},
37,Incineroar,0.0,{'0': 2},
37,Piranha Plant,0.0,{'0': 4},
37,Hero,0.0,{'0': 4},
37,Banjo and Kazooie,0.0,{'0': 2},
37,Terry,0.0,{'0': 5},
37,Steve,0.0,{'0': 3},
37,Sephiroth,0.0,{'0': 3},
37,Kazuya,0.0,{'0': 4},
37,Mii Brawler,0.0,{'0': 5},
37,Mii Gunner,0.0,{'0': 1},
