rank,character,read_value,candidates,correct
1,Banjo and Kazooie,412.0,{'412': 3},
2,Byleth,332.0,{'332': 3},
3,King K Rool,285.0,{'285': 3},
4,Ike,239.0,{'239': 3},
5,ROB,218.0,{'218': 3},
6,Yoshi,208.0,{'208': 3},
7,Piranha Plant,204.0,{'204': 3},
8,King Dedede,135.0,{'135': 4},
9,Mii Brawler,102.0,{'102': 3},
10,Ganondorf,89.0,{'89': 3},
10,Bowser Jr,89.0,{'89': 3},
12,Wolf,87.0,"{'87': 3, '3': 2}",
13,Captain Falcon,78.0,{'78': 3},
14,Luigi,62.0,{'62': 3},
15,Duck Hunt,54.0,"{'4': 2, '54': 1}",
16,Sephiroth,50.0,"{'90': 2, '50': 1}",
17,Pac-Man,46.0,{'46': 3},
18,Donkey Kong,43.0,{'43': 3},
19,Peach,41.0,{'41': 3},
20,Mr Game and Watch,39.0,{'39': 3},
21,Sora,35.0,{'35': 1},
22,Incineroar,31.0,{'31': 3},
23,Bowser,29.0,{'29': 3},
24,Kirby,27.0,{'27': 3},
25,Roy,26.0,{'26': 3},
26,Villager,21.0,"{'21': 2, '2': 1}",
27,Kazuya,14.0,{'14': 3},
28,Sonic,12.0,{'12': 3},
29,Toon Link,11.0,{'11': 2},
30,Pit,10.0,{'10': 3},
30,Terry,10.0,"{'10': 2, '100': 1}",
32,Richter,9.0,{'9': 3},
32,Mii Swordsman,9.0,{'9': 2},
34,Dark Pit,8.0,{'8': 3},
34,Snake,8.0,{'8': 3},
36,Marth,7.0,{'7': 1},
36,Little Mac,7.0,{'7': 1},
38,Ryu,6.0,{'6': 3},
39,Chrom,5.0,{'5': 3},
39,Diddy Kong,5.0,"{'2': 2, '5': 1}",
41,Mario,4.0,{'4': 3},
41,Simon,4.0,{'4': 3},
41,Isabelle,4.0,{'4': 3},
41,Pyra-Mythra,4.0,{'4': 3},
45,Young Link,3.0,{'3': 3},
45,Zero Suit Samus,3.0,{'3': 1},
45,Palutena,3.0,{'3': 3},
45,Ken,3.0,{'3': 3},
45,Steve,3.0,{'3': 3},
50,Ness,2.0,{'2': 3},
50,Ice Climbers,2.0,{'2': 3},
50,Dr Mario,2.0,{'2': 3},
50,Lucario,2.0,{'2': 3},
50,Ridley,2.0,{'2': 3},
50,Joker,2.0,{'2': 3},
50,Hero,2.0,{'2': 3},
57,Samus,1.0,{'1': 3},
57,Fox,1.0,{'1': 3},
57,Pikachu,1.0,{'1': 3},
57,Pichu,1.0,{'1': 3},
57,Lucina,1.0,{'1': 3},
57,Rosalina and Luma,1.0,{'1': 3},
57,Cloud,1.0,{'1': 3},
64,Link,0.0,{'0': 2},
64,Falco,0.0,{'0': 3},
64,Olimar,0.0,{'0': 1},
64,Shulk,0.0,{'0': 1},
64,Min Min,0.0,{'0': 2},
64,Dark Samus,0.0,{'0': 2},
64,Jigglypuff,0.0,{'0': 2},
64,Daisy,0.0,{'0': 1},
64,Sheik,0.0,{'0': 2},
64,Zelda,0.0,{'0': 1},
64,Mewtwo,0.0,{'0': 1},
64,Pokemon Trainer,0.0,{'0': 1},
64,Lucas,0.0,{'0': 3},
64,Mega Man,0.0,{'0': 5},
64,Wii Fit Trainer,0.0,{'0': 6},
64,Greninja,0.0,{'0': 2},
64,Robin,0.0,{'0': 1},
64,Corrin,0.0,{'0': 2},
64,Bayonetta,0.0,{'0': 3},
64,Inkling,0.0,{'0': 1},
64,Mii Gunner,0.0,{'0': 3},
