rank,character,read_value,candidates,correct
1,Ike,62.0,{'62': 3},
2,Donkey Kong,47.0,{'47': 3},
2,Kazuya,47.0,{'47': 3},
4,Byleth,37.0,{'37': 3},
5,Captain Falcon,27.0,{'27': 3},
5,Ganondorf,27.0,{'27': 3},
7,Little Mac,24.0,{'24': 6},
8,Incineroar,12.0,{'12': 6},
9,Ness,11.0,{'11': 2},
10,Villager,10.0,{'10': 3},
11,Terry,9.0,{'9': 1},
12,Wolf,6.0,{'6': 3},
12,Joker,6.0,{'6': 3},
14,Roy,5.0,"{'3': 2, '5': 1}",
14,Lucas,5.0,"{'9': 2, '5': 1}",
16,King Dedede,4.0,{'4': 3},
16,Steve,4.0,{'4': 3},
18,Kirby,3.0,{'3': 3},
18,Jigglypuff,3.0,{'3': 3},
18,Hero,3.0,{'3': 3},
18,Mii Swordsman,3.0,{'3': 3},
22,Min Min,2.0,{'2': 3},
22,Sephiroth,2.0,{'2': 3},
24,Samus,1.0,{'1': 3},
24,Luigi,1.0,{'1': 3},
24,Sheik,1.0,{'1': 3},
24,Snake,1.0,{'1': 3},
24,Cloud,1.0,{'1': 6},
24,Bayonetta,1.0,{'1': 3},
24,King K Rool,1.0,{'1': 3},
31,Mario,0.0,{'0': 1},
31,Dark Samus,0.0,{'0': 3},
31,Yoshi,0.0,{'0': 1},
31,Fox,0.0,{'0': 2},
31,Pikachu,0.0,{'0': 3},
31,Bowser,0.0,{'0': 2},
31,Ice Climbers,0.0,{'0': 1},
31,Pichu,0.0,{'0': 1},
31,Marth,0.0,{'0': 1},
31,Lucina,0.0,{'0': 3},
31,Mewtwo,0.0,{'0': 1},
31,Mr Game and Watch,0.0,{'0': 1},
31,Pit,0.0,{'0': 2},
31,Zero Suit Samus,0.0,{'0': 1},
31,Wario,0.0,{'0': 1},
31,Pokemon Trainer,0.0,{'0': 2},
31,Diddy Kong,0.0,{'0': 1},
31,Sonic,0.0,{'0': 2},
31,Lucario,0.0,{'0': 2},
31,Mega Man,0.0,{'0': 4},
31,Wii Fit Trainer,0.0,{'0': 1},
31,Greninja,0.0,{'0': 2},
31,Pac-Man,0.0,{'0': 1},
31,Shulk,0.0,{'0': 2},
31,Bowser Jr,0.0,{'0': 2},
31,Duck Hunt,0.0,{'0': 1},
31,Ryu,0.0,{'0': 2},
31,Isabelle,0.0,{'0': 1},
31,Piranha Plant,0.0,{'0': 1},
31,Pyra-Mythra,0.0,{'0': 1},
31,Sora,0.0,{'0': 2},
31,Link,0.0,{'0': 2},
31,Peach,0.0,"{'0': 2, '6': 1}",
31,Daisy,0.0,{'0': 4},
31,Zelda,0.0,{'0': 3},
31,Dr Mario,0.0,{'0': 1},
31,Falco,0.0,{'0': 2},
31,Young Link,0.0,{'0': 1},
31,Chrom,0.0,{'0': 2},
31,Meta Knight,0.0,{'0': 2},
31,Dark Pit,0.0,{'0': 2},
31,Olimar,0.0,{'0': 2},
31,ROB,0.0,{'0': 2},
31,Toon Link,0.0,{'0': 2},
31,Rosalina and Luma,0.0,{'0': 2},
31,Palutena,0.0,{'0': 3},
31,Robin,0.0,{'0': 2},
31,Ken,0.0,{'0': 2},
31,Corrin,0.0,{'0': 3},
31,Inkling,0.0,{'0': 4},
31,Ridley,0.0,{'0': 4},
31,Simon,0.0,{'0': 3},
31,Richter,0.0,{'0': 4},
31,Banjo and Kazooie,0.0,{'0': 5},
31,Mii Brawler,0.0,{'0': 4},
31,Mii Gunner,0.0,{'0': 3},
