rank,character,read_value,candidates,correct
1,Captain Falcon,763.0,{'763': 3},
2,Falco,493.0,{'493': 3},
3,Kirby,345.0,{'345': 3},
4,Bowser,326.0,{'326': 3},
5,Marth,261.0,{'261': 3},
6,Ike,185.0,{'185': 3},
7,Sheik,146.0,{'146': 6},
8,Ganondorf,139.0,{'139': 6},
9,Jigglypuff,127.0,{'127': 3},
10,Roy,106.0,{'106': 3},
11,Joker,100.0,{'100': 3},
12,Donkey Kong,97.0,{'97': 3},
13,Byleth,79.0,{'79': 3},
14,Daisy,61.0,{'61': 3},
15,Samus,56.0,"{'6': 2, '56': 1}",
16,Hero,32.0,{'32': 3},
17,Ridley,31.0,{'31': 3},
18,Young Link,30.0,{'30': 3},
18,Meta Knight,30.0,{'30': 3},
20,Dark Samus,21.0,{'21': 3},
21,Corrin,18.0,{'18': 3},
22,Ice Climbers,15.0,{'15': 3},
22,Zelda,15.0,{'15': 3},
22,Kazuya,15.0,{'15': 3},
22,Wolf,15.0,{'15': 3},
26,Yoshi,12.0,{'12': 3},
26,Lucario,12.0,{'12': 3},
28,Chrom,11.0,{'11': 2},
28,ROB,11.0,"{'11': 2, '4': 1}",
28,Piranha Plant,11.0,{'11': 2},
28,Banjo and Kazooie,11.0,{'11': 2},
32,Dr Mario,10.0,{'10': 3},
33,Fox,9.0,"{'9': 1, '2': 1}",
33,Ken,9.0,{'9': 1},
33,Terry,9.0,{'9': 2},
36,Ness,8.0,{'8': 3},
36,Mega Man,8.0,{'8': 2},
36,Incineroar,8.0,{'8': 2},
39,Peach,6.0,{'6': 3},
39,Pit,6.0,{'6': 3},
39,Dark Pit,6.0,{'6': 3},
39,Olimar,6.0,{'6': 6},
39,Robin,6.0,{'6': 3},
39,Isabelle,6.0,{'6': 3},
45,Greninja,5.0,"{'9': 2, '5': 1}",
45,Inkling,5.0,"{'9': 2, '5': 1}",
47,Pichu,4.0,{'4': 3},
47,Palutena,4.0,{'4': 3},
49,Luigi,3.0,{'3': 3},
49,Lucina,3.0,{'3': 1},
49,Mewtwo,3.0,{'3': 3},
49,Mr Game and Watch,3.0,{'3': 3},
49,Wario,3.0,{'3': 3},
49,Snake,3.0,{'3': 3},
49,Lucas,3.0,{'3': 3},
49,Sonic,3.0,{'3': 3},
49,Villager,3.0,{'3': 6},
49,Mii Gunner,3.0,{'3': 3},
59,King Dedede,2.0,{'2': 3},
60,King K Rool,1.0,{'1': 3},
61,Mario,0.0,{'0': 2},
61,Link,0.0,{'0': 1},
61,Pikachu,0.0,{'0': 2},
61,Zero Suit Samus,0.0,{'0': 2},
61,Pokemon Trainer,0.0,{'0': 1},
61,Diddy Kong,0.0,{'0': 2},
61,Toon Link,0.0,{'0': 2},
61,Wii Fit Trainer,0.0,{'0': 2},
61,Rosalina and Luma,0.0,{'0': 1},
61,Little Mac,0.0,{'0': 1},
61,Pac-Man,0.0,{'0': 2},
61,Shulk,0.0,{'0': 2},
61,Bowser Jr,0.0,{'0': 1},
61,Duck Hunt,0.0,{'0': 1},
61,Ryu,0.0,{'0': 1},
61,Cloud,0.0,{'0': 2},
61,Bayonetta,0.0,{'0': 1},
61,Simon,0.0,{'0': 1},
61,Richter,0.0,{'0': 2},
61,Min Min,0.0,{'0': 2},
61,Steve,0.0,{'0': 3},
61,Sephiroth,0.0,{'0': 4},
61,Pyra-Mythra,0.0,{'0': 3},
61,Sora,0.0,{'0': 2},
61,Mii Brawler,0.0,{'0': 3},
61,Mii Swordsman,0.0,{'0': 3},
