rank,character,read_value,candidates,correct
1,Diddy Kong,14.0,{'14': 3},
2,Hero,12.0,{'12': 3},
3,Wario,11.0,"{'11': 2, '4': 1}",
4,King K Rool,10.0,{'10': 3},
5,ROB,8.0,{'8': 2},
6,Bowser,6.0,{'6': 3},
7,Mewtwo,4.0,{'4': 3},
7,Incineroar,4.0,{'4': 6},
9,Donkey Kong,2.0,{'2': 3},
9,Falco,2.0,{'2': 3},
9,Wii Fit Trainer,2.0,{'2': 3},
12,Captain Falcon,1.0,{'1': 3},
12,Pichu,1.0,{'1': 3},
12,Ganondorf,1.0,{'1': 3},
12,Lucario,1.0,{'1': 6},
12,Wolf,1.0,{'1': 3},
12,Greninja,1.0,{'1': 3},
12,Bayonetta,1.0,{'1': 3},
12,Banjo and Kazooie,1.0,{'1': 3},
12,Kazuya,1.0,{'1': 3},
21,Mario,0.0,{'0': 1},
21,Link,0.0,{'0': 2},
21,Samus,0.0,{'0': 3},
21,Yoshi,0.0,{'0': 1},
21,Kirby,0.0,{'0': 2},
21,Fox,0.0,{'0': 1},
21,Pikachu,0.0,{'0': 2},
21,Luigi,0.0,{'0': 3},
21,Ness,0.0,{'0': 1},
21,Jigglypuff,0.0,{'0': 2},
21,Peach,0.0,{'0': 1},
21,Ice Climbers,0.0,{'0': 1},
21,Zelda,0.0,{'0': 1},
21,Marth,0.0,{'0': 2},
21,Lucina,0.0,{'0': 2},
21,Young Link,0.0,{'0': 1},
21,Roy,0.0,{'0': 3},
21,Mr Game and Watch,0.0,{'0': 1},
21,Zero Suit Samus,0.0,{'0': 2},
21,Snake,0.0,{'0': 2},
21,Ike,0.0,{'0': 1},
21,Pokemon Trainer,0.0,{'0': 2},
21,Lucas,0.0,{'0': 3},
21,Sonic,0.0,{'0': 2},
21,Toon Link,0.0,{'0': 1},
21,Villager,0.0,{'0': 2},
21,Mega Man,0.0,{'0': 2},
21,Little Mac,0.0,{'0': 2},
21,Palutena,0.0,{'0': 3},
21,Pac-Man,0.0,{'0': 2},
21,Robin,0.0,{'0': 2},
21,Bowser Jr,0.0,{'0': 2},
21,Duck Hunt,0.0,{'0': 1},
21,Ryu,0.0,{'0': 2},
21,Ken,0.0,{'0': 2},
21,Cloud,0.0,{'0': 3},
21,Corrin,0.0,{'0': 2},
21,Inkling,0.0,{'0': 2},
21,Ridley,0.0,{'0': 3},
21,Simon,0.0,{'0': 2},
21,Richter,0.0,{'0': 1},
21,Piranha Plant,0.0,{'0': 3},
21,Joker,0.0,{'0': 2},
21,Terry,0.0,{'0': 2},
21,Byleth,0.0,{'0': 1},
21,Min Min,0.0,{'0': 2},
21,Steve,0.0,{'0': 2},
21,Sephiroth,0.0,{'0': 1},
21,Sora,0.0,{'0': 1},
21,Mii Gunner,0.0,{'0': 2},
21,Dark Samus,0.0,{'0': 1},
21,Daisy,0.0,{'0': 2},
21,Sheik,0.0,{'0': 1},
21,Dr Mario,0.0,{'0': 1},
21,Chrom,0.0,{'0': 1},
21,Meta Knight,0.0,{'0': 1},
21,Pit,0.0,{'0': 3},
21,Dark Pit,0.0,{'0': 2},
21,King Dedede,0.0,{'0': 4},
21,Olimar,0.0,{'0': 4},
21,Rosalina and Luma,0.0,{'0': 2},
21,Shulk,0.0,{'0': 1},
21,Isabelle,0.0,{'0': 3},
21,Pyra-Mythra,0.0,{'0': 3},
21,Mii Brawler,0.0,{'0': 2},
21,Mii Swordsman,0.0,{'0': 2},
