rank,character,read_value,candidates,correct
1,Captain Falcon,101.0,{'101': 3},
2,Falco,72.0,"{'2': 2, '72': 1}",
3,Bowser,50.0,"{'90': 2, '50': 1}",
4,Marth,46.0,{'46': 3},
5,Kirby,36.0,{'36': 3},
6,Ike,28.0,{'28': 3},
7,Joker,18.0,{'18': 6},
8,Donkey Kong,10.0,{'10': 6},
8,Samus,10.0,{'10': 3},
8,Ganondorf,10.0,{'10': 3},
8,Roy,10.0,{'10': 3},
12,Sheik,9.0,"{'9': 1, '2': 1}",
13,Jigglypuff,8.0,{'8': 3},
13,Byleth,8.0,{'8': 2},
15,Daisy,6.0,{'6': 3},
15,Wolf,6.0,{'6': 3},
15,Ridley,6.0,{'6': 3},
18,Dr Mario,4.0,{'4': 3},
19,Young Link,3.0,{'3': 3},
19,Meta Knight,3.0,{'3': 3},
19,Piranha Plant,3.0,{'3': 6},
22,Dark Samus,2.0,{'2': 3},
23,Yoshi,1.0,{'1': 3},
23,Ness,1.0,{'1': 3},
23,Zelda,1.0,{'1': 3},
23,Pichu,1.0,{'1': 3},
23,Chrom,1.0,{'1': 3},
23,King Dedede,1.0,{'1': 3},
23,ROB,1.0,{'1': 3},
23,Mega Man,1.0,{'1': 3},
23,Greninja,1.0,{'1': 3},
23,Palutena,1.0,{'1': 3},
23,Inkling,1.0,{'1': 3},
23,King K Rool,1.0,{'1': 3},
23,Incineroar,1.0,{'1': 3},
23,Hero,1.0,{'1': 3},
23,Banjo and Kazooie,1.0,{'1': 3},
38,Fox,0.0,{'0': 2},
38,Luigi,0.0,{'0': 2},
38,Peach,0.0,{'0': 2},
38,Ice Climbers,0.0,{'0': 2},
38,Lucina,0.0,{'0': 1},
38,Mewtwo,0.0,{'0': 1},
38,Mr Game and Watch,0.0,{'0': 1},
38,Pit,0.0,{'0': 2},
38,Dark Pit,0.0,{'0': 2},
38,Wario,0.0,{'0': 2},
38,Snake,0.0,{'0': 2},
38,Lucas,0.0,{'0': 2},
38,Sonic,0.0,{'0': 1},
38,Olimar,0.0,{'0': 1},
38,Lucario,0.0,{'0': 2},
38,Villager,0.0,{'0': 2},
38,Robin,0.0,{'0': 1},
38,Ken,0.0,{'0': 2},
38,Corrin,0.0,{'0': 1},
38,Isabelle,0.0,{'0': 3},
38,Terry,0.0,{'0': 2},
38,Kazuya,0.0,{'0': 2},
38,Mii Gunner,0.0,{'0': 2},
38,Mario,0.0,{'0': 2},
38,Link,0.0,{'0': 2},
38,Pikachu,0.0,{'0': 1},
38,Zero Suit Samus,0.0,{'0': 1},
38,Pokemon Trainer,0.0,{'0': 1},
38,Diddy Kong,0.0,{'0': 1},
38,Toon Link,0.0,{'0': 1},
38,Wii Fit Trainer,0.0,{'0': 2},
38,Rosalina and Luma,0.0,{'0': 2},
38,Little Mac,0.0,"{'0': 1, '6': 1}",
38,Pac-Man,0.0,{'0': 2},
38,Shulk,0.0,{'0': 1},
38,Bowser Jr,0.0,{'0': 1},
38,Duck Hunt,0.0,{'0': 1},
38,Ryu,0.0,{'0': 1},
38,Cloud,0.0,{'0': 3},
38,Bayonetta,0.0,{'0': 2},
38,Simon,0.0,{'0': 2},
38,Richter,0.0,{'0': 4},
38,Min Min,0.0,{'0': 5},
38,Steve,0.0,{'0': 5},
38,Sephiroth,0.0,{'0': 4},
38,Pyra-Mythra,0.0,{'0': 2},
38,Sora,0.0,{'0': 3},
38,Mii Brawler,0.0,{'0': 2},
38,Mii Swordsman,0.0,{'0': 3},
