rank,character,read_value,candidates,correct
1,Villager,367.0,{'367': 3},
2,Ike,27.0,{'27': 3},
3,King Dedede,19.0,{'19': 3},
4,Cloud,13.0,{'13': 6},
5,Little Mac,12.0,{'12': 6},
6,Shulk,9.0,{'9': 4},
6,Corrin,9.0,"{'9': 3, '2': 1}",
8,Palutena,8.0,{'8': 5},
9,Byleth,5.0,"{'9': 2, '5': 1}",
10,Yoshi,4.0,{'4': 3},
10,Ganondorf,4.0,{'4': 3},
12,Link,3.0,{'3': 1},
12,Dark Pit,3.0,{'3': 3},
14,Captain Falcon,2.0,{'2': 3},
15,Mario,1.0,{'1': 3},
15,Samus,1.0,{'1': 3},
15,Fox,1.0,{'1': 3},
15,Bowser,1.0,{'1': 3},
15,Marth,1.0,{'1': 3},
15,Piranha Plant,1.0,{'1': 3},
21,Donkey Kong,0.0,{'0': 1},
21,Kirby,0.0,{'0': 3},
21,Luigi,0.0,{'0': 1},
21,Ness,0.0,{'0': 2},
21,Jigglypuff,0.0,{'0': 2},
21,Peach,0.0,{'0': 1},
21,Ice Climbers,0.0,{'0': 1},
21,Zelda,0.0,{'0': 1},
21,Pichu,0.0,{'0': 2},
21,Falco,0.0,{'0': 3},
21,Young Link,0.0,{'0': 2},
21,Chrom,0.0,{'0': 2},
21,Meta Knight,0.0,{'0': 1},
21,Pit,0.0,{'0': 1},
21,Zero Suit Samus,0.0,{'0': 2},
21,Snake,0.0,{'0': 3},
21,Lucas,0.0,{'0': 1},
21,Lucario,0.0,{'0': 3},
21,Toon Link,0.0,{'0': 2},
21,Sephiroth,0.0,{'0': 4},
21,Mega Man,0.0,{'0': 3},
21,Pac-Man,0.0,{'0': 1},
21,Bayonetta,0.0,{'0': 2},
21,Inkling,0.0,{'0': 1},
21,Ridley,0.0,{'0': 2},
21,King K Rool,0.0,{'0': 1},
21,Isabelle,0.0,{'0': 3},
21,Joker,0.0,{'0': 1},
21,Hero,0.0,{'0': 1},
21,Banjo and Kazooie,0.0,{'0': 2},
21,Terry,0.0,{'0': 1},
21,Min Min,0.0,{'0': 2},
21,Dark Samus,0.0,{'0': 6},
21,Pikachu,0.0,{'0': 1},
21,Daisy,0.0,{'0': 1},
21,Sheik,0.0,{'0': 1},
21,Dr Mario,0.0,{'0': 2},
21,Lucina,0.0,{'0': 2},
21,Mewtwo,0.0,{'0': 2},
21,Roy,0.0,{'0': 1},
21,Mr Game and Watch,0.0,{'0': 2},
21,Wario,0.0,{'0': 1},
21,Pokemon Trainer,0.0,{'0': 2},
21,Diddy Kong,0.0,{'0': 2},
21,Sonic,0.0,{'0': 2},
21,Olimar,0.0,{'0': 1},
21,ROB,0.0,{'0': 2},
21,Wii Fit Trainer,0.0,{'0': 2},
21,Rosalina and Luma,0.0,{'0': 1},
21,Greninja,0.0,{'0': 1},
21,Robin,0.0,{'0': 2},
21,Bowser Jr,0.0,{'0': 2},
21,Duck Hunt,0.0,{'0': 1},
21,Ryu,0.0,{'0': 2},
21,Ken,0.0,{'0': 1},
21,Simon,0.0,{'0': 2},
21,Richter,0.0,{'0': 1},
21,Incineroar,0.0,{'0': 3},
21,Steve,0.0,{'0': 3},
21,Pyra-Mythra,0.0,{'0': 3},
21,Kazuya,0.0,{'0': 4},
21,Sora,0.0,{'0': 4},
21,Mii Brawler,0.0,{'0': 1},
21,Mii Swordsman,0.0,{'0': 1},
21,Mii Gunner,0.0,{'0': 2},
