rank,character,read_value,candidates,correct
1,Pit,8711.0,"{'711': 2, '8711': 1}",
2,Zelda,5611.0,{'5611': 3},
3,Lucas,4705.0,{'4705': 3},
4,Ike,4281.0,{'4281': 3},
5,Mr Game and Watch,4114.0,{'4114': 3},
6,Pikachu,3407.0,{'3407': 3},
7,Piranha Plant,1837.0,{'1837': 3},
8,ROB,1693.0,{'1693': 6},
9,Corrin,1350.0,{'1350': 3},
10,Snake,1069.0,{'1069': 3},
11,Donkey Kong,1021.0,{'1021': 3},
12,Fox,1006.0,{'1006': 3},
13,Marth,663.0,{'663': 3},
14,Falco,660.0,{'660': 3},
15,Isabelle,613.0,{'613': 6},
16,Shulk,475.0,{'475': 3},
17,Bowser,447.0,{'447': 3},
18,Lucario,414.0,{'414': 3},
19,Richter,399.0,{'399': 3},
20,Duck Hunt,378.0,{'378': 3},
21,Wii Fit Trainer,374.0,{'374': 3},
22,Kazuya,353.0,"{'353': 4, '5335': 2}",
23,Ganondorf,340.0,{'340': 3},
24,Kirby,338.0,{'338': 3},
25,Ness,321.0,{'321': 3},
26,Sora,317.0,{'317': 3},
27,Steve,313.0,{'313': 3},
28,Joker,310.0,{'310': 3},
29,Terry,303.0,{'303': 6},
30,Min Min,301.0,{'301': 3},
31,Peach,277.0,"{'27': 2, '277': 1}",
32,Samus,262.0,{'262': 3},
33,Mario,258.0,{'258': 3},
34,Bayonetta,240.0,{'240': 3},
35,Wario,205.0,{'205': 3},
36,Rosalina and Luma,145.0,{'145': 6},
37,Link,91.0,"{'91': 2, '1': 1}",
38,Dark Samus,0.0,{'0': 3},
38,Yoshi,0.0,{'0': 2},
38,Luigi,0.0,{'0': 1},
38,Captain Falcon,0.0,{'0': 1},
38,Jigglypuff,0.0,{'0': 1},
38,Daisy,0.0,{'0': 1},
38,Ice Climbers,0.0,{'0': 1},
38,Sheik,0.0,{'0': 2},
38,Dr Mario,0.0,{'0': 2},
38,Pichu,0.0,{'0': 2},
38,Lucina,0.0,{'0': 2},
38,Young Link,0.0,{'0': 2},
38,Mewtwo,0.0,{'0': 1},
38,Roy,0.0,{'0': 2},
38,Chrom,0.0,{'0': 2},
38,Meta Knight,0.0,{'0': 1},
38,Dark Pit,0.0,{'0': 2},
38,Zero Suit Samus,0.0,{'0': 1},
38,Pokemon Trainer,0.0,{'0': 2},
38,Diddy Kong,0.0,{'0': 2},
38,Sonic,0.0,{'0': 2},
38,King Dedede,0.0,{'0': 2},
38,Olimar,0.0,{'0': 1},
38,Toon Link,0.0,{'0': 3},
38,Wolf,0.0,{'0': 3},
38,Villager,0.0,{'0': 2},
38,Mega Man,0.0,{'0': 1},
38,Little Mac,0.0,{'0': 2},
38,Greninja,0.0,{'0': 2},
38,Palutena,0.0,{'0': 1},
38,Pac-Man,0.0,{'0': 2},
38,Robin,0.0,{'0': 2},
38,Bowser Jr,0.0,{'0': 3},
38,Ryu,0.0,{'0': 1},
38,Ken,0.0,{'0': 2},
38,Cloud,0.0,{'0': 1},
38,Inkling,0.0,{'0': 1},
38,Ridley,0.0,{'0': 1},
38,Simon,0.0,{'0': 2},
38,King K Rool,0.0,{'0': 2},
38,Incineroar,0.0,{'0': 2},
38,Hero,0.0,{'0': 3},
38,Banjo and Kazooie,0.0,{'0': 3},
38,Byleth,0.0,{'0': 1},
38,Sephiroth,0.0,{'0': 1},
38,Pyra-Mythra,0.0,{'0': 1},
38,Mii Brawler,0.0,{'0': 2},
38,Mii Swordsman,0.0,{'0': 1},
38,Mii Gunner,0.0,{'0': 2},
