rank,character,read_value,candidates,correct
1,Captain Falcon,4.0,{'4': 3},
2,Snake,3.0,{'3': 3},
2,Hero,3.0,{'3': 3},
4,Donkey Kong,2.0,{'2': 3},
4,Ice Climbers,2.0,{'2': 3},
4,Dr Mario,2.0,{'2': 3},
4,Lucina,2.0,{'2': 3},
4,Ike,2.0,{'2': 3},
4,Villager,2.0,{'2': 3},
10,Mario,1.0,{'1': 3},
10,Yoshi,1.0,{'1': 3},
10,Luigi,1.0,{'1': 3},
10,Bowser,1.0,{'1': 3},
10,Sheik,1.0,{'1': 3},
10,Pichu,1.0,{'1': 3},
10,Marth,1.0,{'1': 3},
10,Young Link,1.0,{'1': 3},
10,Wolf,1.0,{'1': 6},
10,Dark Pit,1.0,{'1': 3},
10,Zero Suit Samus,1.0,{'1': 3},
10,Lucas,1.0,{'1': 3},
10,Sonic,1.0,{'1': 3},
10,Olimar,1.0,{'1': 3},
10,Wii Fit Trainer,1.0,{'1': 3},
10,Little Mac,1.0,{'1': 3},
10,Shulk,1.0,{'1': 3},
10,Corrin,1.0,{'1': 3},
10,Isabelle,1.0,{'1': 3},
10,Incineroar,1.0,{'1': 3},
10,Banjo and Kazooie,1.0,{'1': 3},
31,Link,0.0,{'0': 1},
31,Samus,0.0,{'0': 1},
31,Dark Samus,0.0,{'0': 2},
31,Kirby,0.0,{'0': 2},
31,Fox,0.0,{'0': 3},
31,Pikachu,0.0,{'0': 1},
31,Ness,0.0,{'0': 1},
31,Jigglypuff,0.0,{'0': 3},
31,Peach,0.0,{'0': 2},
31,Daisy,0.0,{'0': 1},
31,Zelda,0.0,{'0': 3},
31,Falco,0.0,{'0': 2},
31,Ganondorf,0.0,{'0': 1},
31,Mewtwo,0.0,{'0': 2},
31,Roy,0.0,{'0': 2},
31,Chrom,0.0,{'0': 2},
31,Mr Game and Watch,0.0,{'0': 2},
31,Pit,0.0,{'0': 2},
31,Wario,0.0,{'0': 3},
31,Pokemon Trainer,0.0,{'0': 2},
31,Diddy Kong,0.0,{'0': 3},
31,Lucario,0.0,{'0': 2},
31,ROB,0.0,{'0': 3},
31,Mega Man,0.0,{'0': 1},
31,Palutena,0.0,{'0': 1},
31,Pac-Man,0.0,{'0': 2},
31,Robin,0.0,{'0': 2},
31,Duck Hunt,0.0,{'0': 2},
31,Ryu,0.0,{'0': 4},
31,Ken,0.0,{'0': 3},
31,Cloud,0.0,{'0': 1},
31,Bayonetta,0.0,{'0': 1},
31,Inkling,0.0,{'0': 3},
31,Ridley,0.0,{'0': 2},
31,Simon,0.0,{'0': 1},
31,Richter,0.0,{'0': 3},
31,Piranha Plant,0.0,{'0': 3},
31,Joker,0.0,{'0': 1},
31,Terry,0.0,{'0': 1},
31,Byleth,0.0,{'0': 3},
31,Min Min,0.0,{'0': 3},
31,Steve,0.0,{'0': 1},
31,Sephiroth,0.0,{'0': 5},
31,Sora,0.0,{'0': 3},
31,Mii Brawler,0.0,{'0': 2},
31,Mii Gunner,0.0,{'0': 1},
31,King Dedede,0.0,{'0': 2},
31,Toon Link,0.0,{'0': 4},
31,Rosalina and Luma,0.0,{'0': 3},
31,Greninja,0.0,{'0': 4},
31,Bowser Jr,0.0,{'0': 1},
31,King K Rool,0.0,{'0': 2},
31,Pyra-Mythra,0.0,{'0': 1},
31,Kazuya,0.0,{'0': 1},
31,Mii Swordsman,0.0,{'0': 2},
