rank,character,read_value,candidates,correct
1,Donkey Kong,11352.0,"{'1152': 2, '11352': 1}",
2,Ganondorf,1000.0,{'1000': 3},
3,Kazuya,927.0,{'927': 3},
4,Captain Falcon,801.0,{'801': 3},
5,Ness,621.0,{'621': 3},
6,Byleth,611.0,{'611': 3},
7,Little Mac,422.0,{'422': 6},
8,Ike,403.0,{'403': 6},
9,Incineroar,339.0,{'339': 3},
10,Villager,329.0,{'329': 3},
11,Jigglypuff,206.0,{'206': 3},
12,Wolf,141.0,{'141': 3},
13,Lucas,119.0,{'119': 3},
14,Joker,106.0,{'106': 3},
15,Snake,56.0,{'56': 3},
16,Roy,53.0,{'53': 3},
17,Mii Swordsman,48.0,{'48': 3},
17,Kirby,48.0,{'48': 3},
19,Hero,42.0,{'42': 3},
20,Steve,41.0,{'41': 3},
20,Terry,41.0,{'41': 6},
22,King Dedede,30.0,{'30': 3},
23,Samus,28.0,{'28': 3},
23,Bowser,28.0,{'28': 3},
25,Mega Man,23.0,{'23': 3},
26,Yoshi,19.0,{'19': 3},
27,Cloud,13.0,{'13': 3},
27,Luigi,13.0,{'13': 3},
29,Ryu,11.0,{'11': 3},
30,Min Min,10.0,{'10': 3},
31,Shulk,9.0,{'9': 3},
31,Pyra-Mythra,9.0,{'9': 3},
31,Ice Climbers,9.0,{'9': 3},
31,Diddy Kong,9.0,{'9': 3},
31,King K Rool,9.0,{'9': 6},
36,Pit,8.0,{'8': 3},
36,Mewtwo,8.0,{'8': 3},
38,Lucario,7.0,{'7': 3},
38,Sheik,7.0,{'7': 3},
38,Sora,7.0,{'7': 3},
38,Wii Fit Trainer,7.0,{'7': 3},
42,Sephiroth,6.0,{'6': 3},
43,Piranha Plant,5.0,{'5': 3},
43,Sonic,5.0,{'5': 3},
43,Bayonetta,5.0,{'5': 3},
46,Pokemon Trainer,4.0,{'4': 3},
46,Bowser Jr,4.0,{'4': 3},
46,Mr Game and Watch,4.0,{'4': 3},
49,Pac-Man,3.0,{'3': 3},
49,Mario,3.0,{'3': 3},
49,Wario,3.0,{'3': 3},
49,Lucina,3.0,{'3': 3},
49,Zero Suit Samus,3.0,{'3': 3},
49,Marth,3.0,{'3': 3},
49,Duck Hunt,3.0,{'3': 3},
56,Isabelle,2.0,{'2': 3},
56,Dark Samus,2.0,{'2': 6},
56,Pichu,2.0,{'2': 3},
59,Pikachu,1.0,{'1': 3},
59,Greninja,1.0,{'1': 3},
59,Fox,1.0,{'1': 3},
62,Link,0.0,{'0': 3},
62,Peach,0.0,{'0': 3},
62,Daisy,0.0,{'0': 3},
62,Zelda,0.0,{'0': 3},
62,Dr Mario,0.0,{'0': 3},
62,Falco,0.0,{'0': 3},
62,Young Link,0.0,{'0': 3},
62,Chrom,0.0,{'0': 3},
62,Meta Knight,0.0,{'0': 3},
62,Dark Pit,0.0,{'0': 3},
62,ROB,0.0,{'0': 3},
62,Toon Link,0.0,{'0': 3},
62,Rosalina and Luma,0.0,{'0': 3},
62,Palutena,0.0,{'0': 3},
62,Robin,0.0,{'0': 3},
62,Ken,0.0,{'0': 3},
62,Corrin,0.0,{'0': 9},
62,Inkling,0.0,{'0': 6},
62,Ridley,0.0,{'0': 6},
62,Simon,0.0,{'0': 6},
62,Richter,0.0,{'0': 6},
62,Banjo and Kazooie,0.0,{'0': 6},
62,Mii Brawler,0.0,{'0': 6},
62,Mii Gunner,0.0,{'0': 6},
