rank,character,read_value,candidates,correct
1,Mario,3.0,{'3.0': 3},
1,Samus,3.0,{'3.0': 3},
1,Fox,3.0,{'3.0': 3},
1,Luigi,3.0,{'3.0': 3},
1,Ness,3.0,{'3.0': 3},
1,Captain Falcon,3.0,{'3.0': 3},
1,Daisy,3.0,{'3.0': 6},
1,Bowser,3.0,{'3.0': 6},
1,Dr Mario,3.0,{'3.0': 3},
1,Pichu,3.0,{'3.0': 3},
1,Falco,3.0,{'3.0': 3},
1,Marth,3.0,{'3.0': 3},
1,Lucina,3.0,{'3.0': 3},
1,Ganondorf,3.0,{'3.0': 6},
1,Mr Game and Watch,3.0,{'3.0': 3},
1,Zero Suit Samus,3.0,{'3.0': 3},
1,Wario,3.0,{'3.0': 3},
1,Diddy Kong,3.0,{'3.0': 3},
1,Sonic,3.0,{'3.0': 3},
1,King Dedede,3.0,{'3.0': 3},
1,Olimar,3.0,{'3.0': 3},
1,Wii Fit Trainer,3.0,{'3.0': 3},
1,Bayonetta,3.0,{'3.0': 3},
1,Inkling,3.0,{'3.0': 3},
1,Ridley,3.0,{'3.0': 3},
1,King K Rool,3.0,{'3.0': 3},
1,Hero,3.0,{'3.0': 3},
1,Banjo and Kazooie,3.0,{'3.0': 3},
1,Byleth,3.0,{'3.0': 3},
1,Min Min,3.0,{'3.0': 3},
1,Sora,3.0,{'3.0': 3},
32,Donkey Kong,2.9,{'2.9': 3},
33,Little Mac,2.85,{'2.85': 3},
33,Steve,2.85,{'2.85': 3},
35,Ice Climbers,2.0,{'2.0': 3},
36,Link,0.0,{'0.0': 3},
36,Dark Samus,0.0,{'0.0': 3},
36,Yoshi,0.0,{'0.0': 3},
36,Kirby,0.0,{'0.0': 3},
36,Pikachu,0.0,{'0.0': 3},
36,Jigglypuff,0.0,{'0.0': 3},
36,Peach,0.0,{'0.0': 3},
36,Sheik,0.0,{'0.0': 3},
36,Zelda,0.0,{'0.0': 3},
36,Young Link,0.0,{'0.0': 3},
36,Mewtwo,0.0,{'0.0': 3},
36,Roy,0.0,{'0.0': 3},
36,Chrom,0.0,{'0.0': 3},
36,Meta Knight,0.0,{'0.0': 3},
36,Pit,0.0,{'0.0': 3},
36,Dark Pit,0.0,{'0.0': 3},
36,Snake,0.0,{'0.0': 3},
36,Ike,0.0,{'0.0': 3},
36,Pokemon Trainer,0.0,{'0.0': 3},
36,Lucas,0.0,{'0.0': 3},
36,Lucario,0.0,{'0.0': 3},
36,ROB,0.0,{'0.0': 3},
36,Toon Link,0.0,{'0.0': 3},
36,Sephiroth,0.0,{'0.0': 9},
36,Villager,0.0,{'0.0': 3},
36,Mega Man,0.0,{'0.0': 3},
36,Rosalina and Luma,0.0,{'0.0': 3},
36,Greninja,0.0,{'0.0': 3},
36,Palutena,0.0,{'0.0': 3},
36,Pac-Man,0.0,{'0.0': 6},
36,Robin,0.0,{'0.0': 3},
36,Shulk,0.0,{'0.0': 3},
36,Bowser Jr,0.0,{'0.0': 3},
36,Duck Hunt,0.0,{'0.0': 3},
36,Ryu,0.0,{'0.0': 3},
36,Ken,0.0,{'0.0': 3},
36,Cloud,0.0,{'0.0': 6},
36,Corrin,0.0,{'0.0': 3},
36,Simon,0.0,{'0.0': 3},
36,Richter,0.0,{'0.0': 3},
36,Isabelle,0.0,{'0.0': 3},
36,Incineroar,0.0,{'0.0': 3},
36,Piranha Plant,0.0,{'0.0': 3},
36,Joker,0.0,{'0.0': 9},
36,Terry,0.0,{'0.0': 6},
36,Pyra-Mythra,0.0,{'0.0': 6},
36,Kazuya,0.0,{'0.0': 6},
36,Mii Brawler,0.0,{'0.0': 6},
36,Mii Swordsman,0.0,{'0.0': 6},
36,Mii Gunner,0.0,{'0.0': 6},
