rank,character,read_value,candidates,correct
1,Captain Falcon,100.0,{'100.0': 3},
1,Dr Mario,100.0,{'100.0': 3},
1,Min Min,100.0,{'100.0': 3},
4,King K Rool,50.0,{'50.0': 3},
5,Steve,14.28,{'14.28': 3},
6,Donkey Kong,10.0,{'10.0': 3},
6,Little Mac,10.0,{'10.0': 3},
8,Mario,0.0,{'0.0': 6},
8,Samus,0.0,{'0.0': 3},
8,Fox,0.0,{'0.0': 3},
8,Luigi,0.0,{'0.0': 3},
8,Ness,0.0,{'0.0': 3},
8,Daisy,0.0,{'0.0': 3},
8,Bowser,0.0,{'0.0': 6},
8,Ice Climbers,0.0,{'0.0': 3},
8,Pichu,0.0,{'0.0': 3},
8,Falco,0.0,{'0.0': 3},
8,Marth,0.0,{'0.0': 3},
8,Lucina,0.0,{'0.0': 3},
8,Ganondorf,0.0,{'0.0': 3},
8,Mr Game and Watch,0.0,{'0.0': 3},
8,Zero Suit Samus,0.0,{'0.0': 3},
8,Wario,0.0,{'0.0': 3},
8,Diddy Kong,0.0,{'0.0': 3},
8,Sonic,0.0,{'0.0': 3},
8,King Dedede,0.0,{'0.0': 3},
8,Olimar,0.0,{'0.0': 3},
8,Wii Fit Trainer,0.0,{'0.0': 3},
8,Bayonetta,0.0,{'0.0': 3},
8,Inkling,0.0,{'0.0': 3},
8,Ridley,0.0,{'0.0': 3},
8,Hero,0.0,{'0.0': 3},
8,Banjo and Kazooie,0.0,{'0.0': 3},
8,Byleth,0.0,{'0.0': 3},
8,Sora,0.0,{'0.0': 3},
8,Link,0.0,{'0.0': 3},
8,Dark Samus,0.0,{'0.0': 3},
8,Yoshi,0.0,{'0.0': 3},
8,Kirby,0.0,{'0.0': 3},
8,Pikachu,0.0,{'0.0': 3},
8,Jigglypuff,0.0,{'0.0': 3},
8,Peach,0.0,{'0.0': 3},
8,Sheik,0.0,{'0.0': 3},
8,Zelda,0.0,{'0.0': 3},
8,Young Link,0.0,{'0.0': 3},
8,Mewtwo,0.0,{'0.0': 3},
8,Roy,0.0,{'0.0': 3},
8,Chrom,0.0,{'0.0': 3},
8,Meta Knight,0.0,{'0.0': 3},
8,Pit,0.0,{'0.0': 3},
8,Dark Pit,0.0,{'0.0': 3},
8,Snake,0.0,{'0.0': 3},
8,Ike,0.0,{'0.0': 3},
8,Pokemon Trainer,0.0,{'0.0': 3},
8,Lucas,0.0,{'0.0': 3},
8,Lucario,0.0,{'0.0': 3},
8,ROB,0.0,{'0.0': 3},
8,Toon Link,0.0,{'0.0': 3},
8,Sephiroth,0.0,{'0.0': 9},
8,Villager,0.0,{'0.0': 3},
8,Mega Man,0.0,{'0.0': 3},
8,Rosalina and Luma,0.0,{'0.0': 3},
8,Greninja,0.0,{'0.0': 3},
8,Palutena,0.0,{'0.0': 3},
8,Pac-Man,0.0,{'0.0': 3},
8,Robin,0.0,{'0.0': 3},
8,Shulk,0.0,{'0.0': 3},
8,Bowser Jr,0.0,{'0.0': 3},
8,Duck Hunt,0.0,{'0.0': 3},
8,Ryu,0.0,{'0.0': 3},
8,Ken,0.0,{'0.0': 3},
8,Cloud,0.0,{'0.0': 3},
8,Corrin,0.0,{'0.0': 3},
8,Simon,0.0,{'0.0': 3},
8,Richter,0.0,{'0.0': 3},
8,Isabelle,0.0,{'0.0': 3},
8,Incineroar,0.0,{'0.0': 3},
8,Piranha Plant,0.0,{'0.0': 3},
8,Joker,0.0,{'0.0': 9},
8,Terry,0.0,{'0.0': 6},
8,Pyra-Mythra,0.0,{'0.0': 6},
8,Kazuya,0.0,{'0.0': 6},
8,Mii Brawler,0.0,{'0.0': 6},
8,Mii Swordsman,0.0,{'0.0': 6},
8,Mii Gunner,0.0,{'0.0': 6},
