rank,character,read_value,candidates,correct
1,Donkey Kong,13.47,{'13.47': 3},
2,Ganondorf,12.56,{'12.56': 3},
3,Kazuya,11.15,{'11.15': 3},
4,Captain Falcon,9.96,{'9.96': 3},
5,Ness,7.36,{'7.36': 3},
6,Byleth,6.94,{'6.94': 3},
7,Little Mac,5.19,"{'9.19': 2, '5.19': 4}",
8,Ike,5.12,"{'5.12': 4, '3.12': 2}",
9,Incineroar,4.28,{'4.28': 3},
10,Villager,3.5,{'3.5': 3},
11,Jigglypuff,2.92,"{'2.92': 2, '2.52': 1}",
12,Wolf,2.31,{'2.31': 3},
13,Lucas,1.33,"{'0.33': 2, '1.33': 1}",
14,Joker,1.19,{'1.19': 3},
15,Roy,1.05,{'1.05': 3},
16,Mii Swordsman,0.98,{'0.98': 3},
17,Snake,0.91,{'0.91': 3},
17,Steve,0.91,{'0.91': 3},
19,Kirby,0.84,{'0.84': 3},
19,Terry,0.84,{'0.84': 3},
21,Hero,0.77,{'0.77': 3},
22,Bowser,0.56,{'0.56': 3},
22,King Dedede,0.56,{'0.56': 3},
24,Samus,0.42,{'0.42': 3},
24,Mega Man,0.42,{'0.42': 3},
26,Yoshi,0.35,{'0.35': 3},
27,Luigi,0.28,{'0.28': 3},
27,Cloud,0.28,{'0.28': 3},
29,Diddy Kong,0.21,{'0.21': 3},
29,Shulk,0.21,{'0.21': 3},
29,Ryu,0.21,{'0.21': 3},
29,King K Rool,0.21,{'0.21': 3},
29,Min Min,0.21,{'0.21': 3},
29,Pyra-Mythra,0.21,{'0.21': 3},
35,Ice Climbers,0.14,{'0.14': 3},
35,Sheik,0.14,{'0.14': 6},
35,Mewtwo,0.14,{'0.14': 3},
35,Pit,0.14,{'0.14': 3},
35,Pokemon Trainer,0.14,{'0.14': 3},
35,Lucario,0.14,{'0.14': 3},
35,Wii Fit Trainer,0.14,{'0.14': 3},
35,Piranha Plant,0.14,{'0.14': 3},
35,Sephiroth,0.14,{'0.14': 6},
35,Sora,0.14,{'0.14': 3},
45,Mario,0.07,{'0.07': 3},
45,Dark Samus,0.07,{'0.07': 3},
45,Fox,0.07,{'0.07': 3},
45,Pikachu,0.07,{'0.07': 3},
45,Pichu,0.07,{'0.07': 3},
45,Marth,0.07,{'0.07': 3},
45,Lucina,0.07,{'0.07': 3},
45,Mr Game and Watch,0.07,{'0.07': 3},
45,Zero Suit Samus,0.07,{'0.07': 3},
45,Wario,0.07,{'0.07': 3},
45,Sonic,0.07,{'0.07': 3},
45,Greninja,0.07,{'0.07': 3},
45,Pac-Man,0.07,{'0.07': 3},
45,Bowser Jr,0.07,{'0.07': 3},
45,Duck Hunt,0.07,{'0.07': 3},
45,Bayonetta,0.07,{'0.07': 3},
45,Isabelle,0.07,{'0.07': 3},
62,Link,0.0,{'0.0': 3},
62,Peach,0.0,{'0.0': 3},
62,Daisy,0.0,{'0.0': 3},
62,Zelda,0.0,{'0.0': 3},
62,Dr Mario,0.0,{'0.0': 3},
62,Falco,0.0,{'0.0': 3},
62,Young Link,0.0,{'0.0': 3},
62,Chrom,0.0,{'0.0': 3},
62,Meta Knight,0.0,{'0.0': 3},
62,Dark Pit,0.0,{'0.0': 3},
62,Olimar,0.0,{'0.0': 3},
62,ROB,0.0,{'0.0': 3},
62,Toon Link,0.0,{'0.0': 3},
62,Rosalina and Luma,0.0,{'0.0': 3},
62,Palutena,0.0,{'0.0': 3},
62,Robin,0.0,{'0.0': 3},
62,Ken,0.0,{'0.0': 3},
62,Corrin,0.0,{'0.0': 9},
62,Inkling,0.0,{'0.0': 9},
62,Ridley,0.0,{'0.0': 6},
62,Simon,0.0,{'0.0': 6},
62,Richter,0.0,{'0.0': 6},
62,Banjo and Kazooie,0.0,{'0.0': 6},
62,Mii Brawler,0.0,{'0.0': 6},
62,Mii Gunner,0.0,{'0.0': 6},
