rank,character,read_value,candidates,correct
1,Banjo and Kazooie,91.0,{'91': 3},
2,King K Rool,35.0,{'35': 3},
3,Yoshi,21.0,"{'21': 2, '2': 1}",
3,Ganondorf,21.0,"{'21': 2, '2': 1}",
5,ROB,18.0,{'18': 3},
6,Wolf,15.0,"{'15': 3, '2': 3, '1': 3}",
6,King Dedede,15.0,"{'15': 2, '150': 1}",
8,Duck Hunt,13.0,{'13': 6},
8,Sephiroth,13.0,{'13': 3},
10,Bowser Jr,11.0,{'11': 2},
10,Mii Brawler,11.0,"{'11': 2, '4': 1}",
12,Peach,10.0,{'10': 3},
12,Ike,10.0,{'10': 3},
12,Pac-Man,10.0,{'10': 3},
15,Bowser,9.0,{'9': 5},
16,Sora,8.0,{'8': 3},
17,Richter,7.0,{'7': 3},
18,Byleth,6.0,{'6': 3},
18,Roy,6.0,"{'6': 2, '5': 1}",
20,Ryu,5.0,"{'5': 2, '3': 2}",
20,Donkey Kong,5,{'5': 3},
20,Captain Falcon,5,{'5': 3},
23,Marth,4.0,{'4': 3},
23,Mr Game and Watch,4.0,{'4': 3},
23,Sonic,4.0,{'4': 3},
23,Incineroar,4.0,{'4': 3},
27,Luigi,3.0,{'3': 3},
27,Pit,3.0,{'3': 3},
27,Piranha Plant,3.0,{'3': 6},
27,Terry,3.0,{'3': 3},
31,Dark Pit,2.0,{'2': 3},
31,Diddy Kong,2.0,{'2': 3},
31,Lucario,2.0,{'2': 3},
31,Toon Link,2.0,{'2': 3},
31,Villager,2.0,{'2': 3},
31,Little Mac,2.0,{'2': 3},
31,Palutena,2.0,{'2': 3},
31,Pyra-Mythra,2.0,{'2': 3},
39,Fox,1.0,{'1': 3},
39,Ness,1.0,{'1': 3},
39,Ice Climbers,1.0,{'1': 3},
39,Snake,1.0,{'1': 3},
39,Simon,1.0,{'1': 3},
39,Isabelle,1.0,{'1': 3},
39,Mii Swordsman,1.0,{'1': 3},
46,Mario,0.0,{'0': 2},
46,Link,0.0,{'0': 1},
46,Samus,0.0,{'0': 1},
46,Kirby,0.0,{'0': 2},
46,Pikachu,0.0,{'0': 3},
46,Dr Mario,0.0,{'0': 2},
46,Pichu,0.0,{'0': 1},
46,Falco,0.0,{'0': 3},
46,Lucina,0.0,{'0': 1},
46,Young Link,0.0,{'0': 1},
46,Chrom,0.0,{'0': 4},
46,Zero Suit Samus,0.0,{'0': 1},
46,Olimar,0.0,{'0': 2},
46,Rosalina and Luma,0.0,{'0': 1},
46,Shulk,0.0,{'0': 3},
46,Ken,0.0,{'0': 2},
46,Cloud,0.0,{'0': 2},
46,Ridley,0.0,{'0': 3},
46,Joker,0.0,{'0': 2},
46,Hero,0.0,{'0': 1},
46,Min Min,0.0,{'0': 1},
46,Steve,0.0,{'0': 1},
46,Kazuya,0.0,{'0': 1},
46,Dark Samus,0.0,{'0': 1},
46,Jigglypuff,0.0,{'0': 2},
46,Daisy,0.0,{'0': 2},
46,Sheik,0.0,{'0': 2},
46,Zelda,0.0,{'0': 1},
46,Mewtwo,0.0,{'0': 2},
46,Pokemon Trainer,0.0,{'0': 3},
46,Lucas,0.0,{'0': 3},
46,Mega Man,0.0,"{'0': 4, '4': 1}",
46,Wii Fit Trainer,0.0,{'0': 2},
46,Greninja,0.0,{'0': 1},
46,Robin,0.0,{'0': 1},
46,Corrin,0.0,{'0': 2},
46,Bayonetta,0.0,{'0': 3},
46,Inkling,0.0,{'0': 1},
46,Mii Gunner,0.0,{'0': 2},
