rank,character,read_value,candidates,correct
1,Villager,2067.0,{'2067': 3},
2,Ike,600.0,{'600': 3},
3,King Dedede,444.0,{'444': 3},
4,Cloud,296.0,{'296': 6},
5,Corrin,294.0,{'294': 6},
6,Little Mac,210.0,{'210': 6},
7,Palutena,208.0,{'208': 6},
8,Byleth,154.0,{'154': 6},
9,Shulk,130.0,{'130': 3},
10,Ganondorf,79.0,{'79': 3},
11,Dark Pit,37.0,{'37': 3},
12,Hero,28.0,{'28': 3},
13,Captain Falcon,24.0,{'24': 3},
14,Bowser,22.0,{'22': 3},
14,Young Link,22.0,{'22': 3},
16,Samus,16.0,{'16': 3},
17,Luigi,15.0,"{'15': 2, '150': 1}",
17,Banjo and Kazooie,15.0,{'15': 3},
17,Terry,15.0,{'15': 3},
20,Fox,12.0,{'12': 3},
21,Jigglypuff,9.0,{'9': 2},
22,Link,8.0,{'8': 3},
22,Snake,8.0,{'8': 3},
22,King K Rool,8.0,{'8': 2},
22,Isabelle,8.0,{'8': 2},
26,Donkey Kong,6.0,{'6': 3},
26,Min Min,6.0,{'6': 3},
28,Pit,4.0,{'4': 3},
29,Yoshi,3.0,{'3': 3},
29,Kirby,3.0,{'3': 3},
29,Ness,3.0,{'3': 3},
29,Ice Climbers,3.0,{'3': 3},
29,Zelda,3.0,{'3': 3},
29,Pichu,3.0,{'3': 3},
29,Marth,3.0,{'3': 3},
29,Meta Knight,3.0,{'3': 3},
29,Lucario,3.0,{'3': 3},
29,Sephiroth,3.0,{'3': 6},
29,Mega Man,3.0,{'3': 3},
29,Ridley,3.0,{'3': 3},
41,Mario,2.0,{'2': 3},
41,Peach,2.0,{'2': 3},
41,Falco,2.0,{'2': 3},
41,Chrom,2.0,{'2': 3},
41,Zero Suit Samus,2.0,{'2': 3},
41,Lucas,2.0,{'2': 3},
41,Toon Link,2.0,{'2': 3},
41,Pac-Man,2.0,{'2': 3},
49,Joker,1.0,{'1': 3},
50,Inkling,0.0,{'0': 1},
50,Piranha Plant,0.0,{'0': 1},
50,Dark Samus,0.0,{'0': 2},
50,Pikachu,0.0,{'0': 1},
50,Daisy,0.0,{'0': 2},
50,Sheik,0.0,{'0': 1},
50,Dr Mario,0.0,{'0': 2},
50,Lucina,0.0,{'0': 2},
50,Mewtwo,0.0,{'0': 1},
50,Roy,0.0,{'0': 2},
50,Mr Game and Watch,0.0,{'0': 2},
50,Wario,0.0,{'0': 1},
50,Pokemon Trainer,0.0,{'0': 3},
50,Diddy Kong,0.0,{'0': 1},
50,Sonic,0.0,{'0': 2},
50,Olimar,0.0,{'0': 2},
50,ROB,0.0,{'0': 1},
50,Wii Fit Trainer,0.0,{'0': 1},
50,Rosalina and Luma,0.0,{'0': 1},
50,Greninja,0.0,{'0': 2},
50,Robin,0.0,{'0': 1},
50,Bowser Jr,0.0,{'0': 2},
50,Duck Hunt,0.0,{'0': 2},
50,Ryu,0.0,{'0': 1},
50,Ken,0.0,{'0': 2},
50,Simon,0.0,{'0': 2},
50,Richter,0.0,{'0': 1},
50,Incineroar,0.0,{'0': 4},
50,Steve,0.0,{'0': 2},
50,Pyra-Mythra,0.0,{'0': 4},
50,Kazuya,0.0,{'0': 3},
50,Sora,0.0,{'0': 3},
50,Mii Brawler,0.0,{'0': 3},
50,Mii Swordsman,0.0,{'0': 1},
50,Mii Gunner,0.0,{'0': 2},
