rank,character,read_value,candidates,correct
1,King Dedede,100.0,{'100.0': 3},
1,Mega Man,100.0,{'100.0': 3},
1,Robin,100.0,{'100.0': 3},
1,Shulk,100.0,{'100.0': 3},
5,Zelda,66.66,{'66.66': 3},
5,Wii Fit Trainer,66.66,{'66.66': 3},
7,Toon Link,57.14,{'57.14': 3},
8,Young Link,50.0,"{'50.0': 4, '90.0': 2}",
8,Pokemon Trainer,50.0,{'50.0': 3},
10,Hero,40.0,{'40.0': 3},
10,Mii Gunner,40.0,{'40.0': 3},
12,Lucina,33.33,{'33.33': 3},
13,Joker,30.0,{'30.0': 3},
14,Donkey Kong,22.22,{'22.22': 3},
15,Link,20.0,{'20.0': 6},
15,Captain Falcon,20.0,{'20.0': 3},
15,Bowser,20.0,{'20.0': 3},
18,Byleth,16.66,{'16.66': 3},
19,Ganondorf,10.0,{'10.0': 3},
19,Mii Brawler,10.0,{'10.0': 3},
21,Samus,0.0,{'0.0': 3},
21,Fox,0.0,{'0.0': 3},
21,Pikachu,0.0,{'0.0': 3},
21,Peach,0.0,{'0.0': 3},
21,Sheik,0.0,{'0.0': 3},
21,Dr Mario,0.0,{'0.0': 3},
21,Falco,0.0,{'0.0': 3},
21,Marth,0.0,{'0.0': 3},
21,Roy,0.0,{'0.0': 3},
21,Meta Knight,0.0,{'0.0': 3},
21,Pit,0.0,{'0.0': 3},
21,Zero Suit Samus,0.0,{'0.0': 3},
21,Wario,0.0,{'0.0': 3},
21,Sonic,0.0,{'0.0': 3},
21,Olimar,0.0,{'0.0': 3},
21,Sephiroth,0.0,{'0.0': 6},
21,Greninja,0.0,{'0.0': 3},
21,Ryu,0.0,{'0.0': 3},
21,Corrin,0.0,{'0.0': 3},
21,Bayonetta,0.0,{'0.0': 3},
21,Ridley,0.0,{'0.0': 3},
21,King K Rool,0.0,{'0.0': 3},
21,Piranha Plant,0.0,{'0.0': 3},
21,Banjo and Kazooie,0.0,{'0.0': 3},
21,Terry,0.0,{'0.0': 3},
21,Mii Swordsman,0.0,{'0.0': 3},
21,Mario,0.0,{'0.0': 3},
21,Dark Samus,0.0,{'0.0': 3},
21,Yoshi,0.0,{'0.0': 3},
21,Kirby,0.0,{'0.0': 3},
21,Luigi,0.0,{'0.0': 3},
21,Ness,0.0,{'0.0': 3},
21,Jigglypuff,0.0,{'0.0': 3},
21,Daisy,0.0,{'0.0': 3},
21,Ice Climbers,0.0,{'0.0': 3},
21,Pichu,0.0,{'0.0': 3},
21,Mewtwo,0.0,{'0.0': 3},
21,Chrom,0.0,{'0.0': 3},
21,Mr Game and Watch,0.0,{'0.0': 3},
21,Dark Pit,0.0,{'0.0': 3},
21,Snake,0.0,{'0.0': 3},
21,Ike,0.0,{'0.0': 3},
21,Diddy Kong,0.0,{'0.0': 3},
21,Lucas,0.0,{'0.0': 3},
21,Lucario,0.0,{'0.0': 3},
21,ROB,0.0,{'0.0': 3},
21,Villager,0.0,{'0.0': 3},
21,Rosalina and Luma,0.0,{'0.0': 3},
21,Little Mac,0.0,{'0.0': 3},
21,Palutena,0.0,{'0.0': 3},
21,Pac-Man,0.0,{'0.0': 3},
21,Bowser Jr,0.0,{'0.0': 3},
21,Duck Hunt,0.0,{'0.0': 3},
21,Ken,0.0,{'0.0': 3},
21,Cloud,0.0,{'0.0': 3},
21,Inkling,0.0,{'0.0': 3},
21,Simon,0.0,{'0.0': 3},
21,Richter,0.0,{'0.0': 3},
21,Isabelle,0.0,{'0.0': 6},
21,Incineroar,0.0,{'0.0': 3},
21,Min Min,0.0,{'0.0': 3},
21,Steve,0.0,{'0.0': 3},
21,Pyra-Mythra,0.0,{'0.0': 3},
21,Kazuya,0.0,{'0.0': 3},
21,Sora,0.0,{'0.0': 3},
