rank,character,read_value,candidates,correct
1,Banjo and Kazooie,76.0,{'76': 3},
2,Byleth,69.0,{'69': 3},
3,King K Rool,38.0,{'38': 3},
4,Ike,33.0,{'33': 6},
5,Yoshi,30.0,{'30': 6},
5,Piranha Plant,30.0,{'30': 6},
7,ROB,29.0,{'29': 6},
8,King Dedede,17.0,"{'17': 4, '7': 2}",
9,Bowser Jr,14.0,{'14': 3},
10,Mii Brawler,13.0,{'13': 3},
11,Ganondorf,11.0,{'11': 2},
12,Wario,9.0,{'9': 2},
13,Luigi,8.0,{'8': 2},
14,Peach,7.0,{'7': 3},
14,Duck Hunt,7.0,{'7': 3},
14,Sora,7.0,{'7': 1},
17,Captain Falcon,6.0,{'6': 3},
18,Villager,5.0,{'5': 1},
18,Pac-Man,5.0,"{'9': 2, '5': 1}",
20,Donkey Kong,4.0,{'4': 3},
20,Kirby,4.0,{'4': 3},
20,Mr Game and Watch,4.0,{'4': 3},
20,Sephiroth,4.0,{'4': 3},
24,Bowser,3.0,{'3': 3},
24,Sonic,3.0,{'3': 6},
24,Kazuya,3.0,{'3': 3},
27,Mario,2.0,{'2': 3},
27,Terry,2.0,{'2': 3},
29,Link,1.0,{'1': 3},
29,Ness,1.0,{'1': 3},
29,Dr Mario,1.0,{'1': 3},
29,Roy,1.0,{'1': 3},
29,Wolf,1.0,"{'1': 3, '0': 2}",
29,Pit,1.0,{'1': 3},
29,Dark Pit,1.0,{'1': 3},
29,Diddy Kong,1.0,{'1': 3},
29,Ryu,1.0,{'1': 3},
29,Ken,1.0,{'1': 3},
29,Cloud,1.0,{'1': 3},
29,Simon,1.0,{'1': 3},
29,Richter,1.0,{'1': 3},
29,Isabelle,1.0,{'1': 3},
29,Incineroar,1.0,{'1': 3},
29,Joker,1.0,{'1': 3},
29,Steve,1.0,{'1': 3},
29,Pyra-Mythra,1.0,{'1': 3},
29,Mii Swordsman,1.0,{'1': 3},
48,Samus,0.0,{'0': 1},
48,Fox,0.0,{'0': 2},
48,Pikachu,0.0,{'0': 1},
48,Ice Climbers,0.0,{'0': 3},
48,Pichu,0.0,{'0': 2},
48,Falco,0.0,{'0': 2},
48,Marth,0.0,{'0': 3},
48,Lucina,0.0,{'0': 1},
48,Young Link,0.0,{'0': 2},
48,Chrom,0.0,{'0': 1},
48,Zero Suit Samus,0.0,{'0': 2},
48,Snake,0.0,{'0': 2},
48,Olimar,0.0,{'0': 3},
48,Lucario,0.0,{'0': 1},
48,Toon Link,0.0,{'0': 3},
48,Rosalina and Luma,0.0,{'0': 1},
48,Little Mac,0.0,{'0': 1},
48,Palutena,0.0,{'0': 2},
48,Shulk,0.0,{'0': 1},
48,Ridley,0.0,"{'0': 2, '4': 1}",
48,Min Min,0.0,{'0': 2},
48,Dark Samus,0.0,{'0': 1},
48,Jigglypuff,0.0,{'0': 1},
48,Daisy,0.0,{'0': 1},
48,Sheik,0.0,{'0': 3},
48,Zelda,0.0,{'0': 3},
48,Mewtwo,0.0,{'0': 1},
48,Pokemon Trainer,0.0,{'0': 2},
48,Lucas,0.0,{'0': 1},
48,Mega Man,0.0,{'0': 3},
48,Wii Fit Trainer,0.0,{'0': 4},
48,Greninja,0.0,{'0': 4},
48,Robin,0.0,{'0': 2},
48,Corrin,0.0,{'0': 6},
48,Bayonetta,0.0,{'0': 2},
48,Inkling,0.0,{'0': 2},
48,Mii Gunner,0.0,{'0': 3},
