rank,character,read_value,candidates,correct
1,Toon Link,38.0,{'38': 3},
2,Zelda,13.0,{'13': 3},
2,King K Rool,13.0,{'13': 3},
4,Luigi,8.0,{'8': 2},
4,Bowser,8.0,{'8': 3},
6,Captain Falcon,7.0,{'7': 1},
6,Young Link,7.0,{'7': 1},
8,Donkey Kong,6.0,{'6': 3},
8,Yoshi,6.0,{'6': 3},
8,ROB,6.0,{'6': 3},
11,Little Mac,5.0,{'5': 3},
12,Link,4.0,{'4': 3},
12,Steve,4.0,{'4': 3},
14,Samus,3.0,{'3': 3},
14,Daisy,3.0,{'3': 3},
14,Ganondorf,3.0,{'3': 3},
14,Sora,3.0,{'3': 3},
18,Peach,2.0,{'2': 3},
18,Sheik,2.0,{'2': 3},
18,Snake,2.0,{'2': 3},
18,Diddy Kong,2.0,{'2': 3},
18,Villager,2.0,{'2': 3},
18,Wii Fit Trainer,2.0,{'2': 3},
18,Palutena,2.0,{'2': 3},
25,Kirby,1.0,{'1': 3},
25,Pikachu,1.0,{'1': 3},
25,Jigglypuff,1.0,{'1': 3},
25,Pac-Man,1.0,{'1': 3},
25,Ken,1.0,{'1': 3},
25,Richter,1.0,{'1': 3},
31,Mario,0.0,{'0': 1},
31,Dark Samus,0.0,"{'0': 2, '4': 1}",
31,Fox,0.0,{'0': 1},
31,Ness,0.0,{'0': 2},
31,Ice Climbers,0.0,{'0': 3},
31,Dr Mario,0.0,{'0': 2},
31,Pichu,0.0,{'0': 1},
31,Falco,0.0,{'0': 2},
31,Marth,0.0,{'0': 3},
31,Lucina,0.0,{'0': 1},
31,Mewtwo,0.0,{'0': 2},
31,Roy,0.0,{'0': 1},
31,Chrom,0.0,{'0': 2},
31,Mr Game and Watch,0.0,{'0': 2},
31,Wolf,0.0,{'0': 3},
31,Pit,0.0,"{'0': 1, '6': 1}",
31,Dark Pit,0.0,{'0': 3},
31,Zero Suit Samus,0.0,{'0': 1},
31,Wario,0.0,{'0': 1},
31,Ike,0.0,{'0': 2},
31,Pokemon Trainer,0.0,{'0': 3},
31,Lucas,0.0,{'0': 1},
31,Sonic,0.0,{'0': 2},
31,King Dedede,0.0,{'0': 3},
31,Olimar,0.0,{'0': 2},
31,Lucario,0.0,{'0': 2},
31,Mega Man,0.0,{'0': 2},
31,Rosalina and Luma,0.0,{'0': 1},
31,Greninja,0.0,{'0': 2},
31,Robin,0.0,{'0': 2},
31,Shulk,0.0,{'0': 2},
31,Bowser Jr,0.0,{'0': 3},
31,Duck Hunt,0.0,{'0': 1},
31,Ryu,0.0,{'0': 2},
31,Cloud,0.0,{'0': 2},
31,Corrin,0.0,{'0': 2},
31,Bayonetta,0.0,{'0': 1},
31,Inkling,0.0,{'0': 1},
31,Ridley,0.0,{'0': 1},
31,Simon,0.0,{'0': 2},
31,Isabelle,0.0,{'0': 1},
31,Incineroar,0.0,{'0': 3},
31,Piranha Plant,0.0,{'0': 1},
31,Joker,0.0,{'0': 3},
31,Hero,0.0,{'0': 1},
31,Banjo and Kazooie,0.0,{'0': 2},
31,Terry,0.0,{'0': 1},
31,Byleth,0.0,{'0': 5},
31,Min Min,0.0,{'0': 5},
31,Sephiroth,0.0,{'0': 3},
31,Pyra-Mythra,0.0,{'0': 1},
31,Kazuya,0.0,{'0': 2},
31,Mii Brawler,0.0,{'0': 1},
31,Mii Swordsman,0.0,{'0': 1},
31,Mii Gunner,0.0,{'0': 3},
