rank,character,read_value,candidates,correct
1,Kirby,266.0,{'266': 3},
2,Donkey Kong,253.0,{'253': 6},
3,Lucas,208.0,{'208': 6},
4,Samus,24.0,{'24': 6},
5,Mr Game and Watch,14.0,{'14': 6},
6,Snake,10.0,{'10': 6},
7,Byleth,9.0,"{'9': 2, '2': 2}",
8,Pikachu,8.0,{'8': 5},
8,Captain Falcon,8.0,{'8': 2},
10,Ganondorf,7.0,{'7': 3},
11,Bowser,5.0,"{'9': 2, '5': 1}",
11,ROB,5.0,"{'9': 2, '5': 1}",
11,Pyra-Mythra,5.0,"{'9': 2, '5': 1}",
14,Lucina,4.0,{'4': 3},
14,Ike,4.0,{'4': 3},
16,Mario,2.0,{'2': 3},
16,Zelda,2.0,{'2': 3},
16,Pichu,2.0,{'2': 3},
16,King Dedede,2.0,{'2': 3},
20,Yoshi,1.0,{'1': 3},
20,Ness,1.0,{'1': 3},
20,Jigglypuff,1.0,{'1': 3},
20,Marth,1.0,{'1': 3},
20,Diddy Kong,1.0,{'1': 3},
20,Sonic,1.0,{'1': 3},
20,Wii Fit Trainer,1.0,{'1': 3},
20,Palutena,1.0,{'1': 3},
20,Piranha Plant,1.0,{'1': 3},
20,Min Min,1.0,{'1': 3},
20,Steve,1.0,{'1': 3},
31,Link,0.0,{'0': 1},
31,Dark Samus,0.0,{'0': 1},
31,Fox,0.0,{'0': 2},
31,Luigi,0.0,{'0': 2},
31,Peach,0.0,{'0': 2},
31,Daisy,0.0,{'0': 2},
31,Ice Climbers,0.0,{'0': 2},
31,Sheik,0.0,{'0': 1},
31,Dr Mario,0.0,{'0': 2},
31,Falco,0.0,{'0': 2},
31,Young Link,0.0,{'0': 1},
31,Mewtwo,0.0,{'0': 2},
31,Roy,0.0,{'0': 1},
31,Chrom,0.0,{'0': 2},
31,Meta Knight,0.0,{'0': 2},
31,Pit,0.0,{'0': 1},
31,Dark Pit,0.0,{'0': 1},
31,Zero Suit Samus,0.0,{'0': 2},
31,Wario,0.0,{'0': 1},
31,Pokemon Trainer,0.0,{'0': 2},
31,Olimar,0.0,{'0': 2},
31,Lucario,0.0,{'0': 1},
31,Toon Link,0.0,{'0': 1},
31,Wolf,0.0,{'0': 1},
31,Villager,0.0,{'0': 2},
31,Mega Man,0.0,{'0': 1},
31,Rosalina and Luma,0.0,"{'0': 1, '6': 1}",
31,Little Mac,0.0,{'0': 2},
31,Greninja,0.0,{'0': 3},
31,Pac-Man,0.0,{'0': 1},
31,Robin,0.0,{'0': 2},
31,Shulk,0.0,{'0': 1},
31,Bowser Jr,0.0,{'0': 2},
31,Duck Hunt,0.0,{'0': 2},
31,Ryu,0.0,{'0': 3},
31,Ken,0.0,{'0': 1},
31,Cloud,0.0,{'0': 2},
31,Corrin,0.0,{'0': 2},
31,Bayonetta,0.0,{'0': 2},
31,Inkling,0.0,{'0': 1},
31,Ridley,0.0,{'0': 1},
31,Simon,0.0,{'0': 2},
31,Richter,0.0,{'0': 1},
31,King K Rool,0.0,{'0': 2},
31,Isabelle,0.0,{'0': 2},
31,Incineroar,0.0,{'0': 2},
31,Joker,0.0,{'0': 2},
31,Hero,0.0,{'0': 2},
31,Banjo and Kazooie,0.0,{'0': 5},
31,Terry,0.0,{'0': 1},
31,Sephiroth,0.0,{'0': 1},
31,Kazuya,0.0,{'0': 2},
31,Sora,0.0,{'0': 1},
31,Mii Brawler,0.0,{'0': 3},
31,Mii Swordsman,0.0,{'0': 1},
31,Mii Gunner,0.0,{'0': 1},
