rank,character,read_value,candidates,correct
1,Young Link,3129.0,{'3129': 3},
2,Jigglypuff,2413.0,{'2413': 3},
3,Captain Falcon,546.0,{'546': 3},
4,Shulk,511.0,{'511': 3},
5,Dr Mario,472.0,{'472': 3},
6,Ganondorf,449.0,{'449': 3},
7,Mario,239.0,{'239': 3},
8,Lucas,238.0,{'238': 3},
9,Daisy,149.0,{'149': 3},
10,Richter,131.0,{'131': 3},
11,Banjo and Kazooie,100.0,{'100': 3},
12,Terry,65.0,{'65': 3},
13,Roy,64.0,{'64': 3},
14,Donkey Kong,60.0,{'60': 3},
15,Byleth,52.0,"{'92': 2, '52': 1}",
16,Steve,50.0,"{'0': 2, '50': 1}",
17,Peach,36.0,{'36': 3},
18,Ike,34.0,{'34': 3},
18,Bowser Jr,34.0,{'34': 3},
20,Wolf,32.0,"{'2': 2, '32': 1, '4': 6}",
21,Mr Game and Watch,29.0,{'29': 3},
21,Cloud,29.0,{'29': 3},
23,Pikachu,26.0,{'26': 6},
24,Pichu,24.0,{'24': 3},
25,Bowser,23.0,{'23': 3},
26,Ness,20.0,"{'20': 2, '200': 1}",
27,Sheik,18.0,{'18': 3},
28,Joker,17.0,"{'17': 2, '7': 1}",
29,Pit,15.0,{'15': 3},
30,Villager,14.0,{'14': 6},
30,Hero,14.0,{'14': 3},
32,Incineroar,13.0,{'13': 3},
33,Zelda,12.0,{'12': 3},
33,Sora,12.0,{'12': 3},
35,Link,9.0,{'9': 3},
35,Dark Pit,9.0,{'9': 2},
37,Samus,8.0,"{'8': 4, '38': 1}",
37,Fox,8.0,"{'8': 2, '38': 1}",
37,Palutena,8.0,{'8': 3},
37,Pac-Man,8.0,"{'8': 2, '38': 1}",
37,Bayonetta,8.0,{'8': 2},
37,Inkling,8.0,{'8': 3},
43,Ice Climbers,7.0,{'7': 1},
44,Little Mac,6.0,{'6': 6},
44,Piranha Plant,6.0,{'6': 3},
44,Pyra-Mythra,6.0,{'6': 2},
47,Falco,5.0,{'5': 3},
47,Mega Man,5.0,{'5': 1},
47,Simon,5.0,{'5': 1},
50,Luigi,4.0,{'4': 3},
50,Corrin,4.0,{'4': 3},
50,King K Rool,4.0,{'4': 3},
50,Isabelle,4.0,{'4': 3},
54,Marth,3.0,{'3': 3},
54,Lucina,3.0,{'3': 3},
54,Diddy Kong,3.0,{'3': 3},
54,Sonic,3.0,{'3': 6},
54,King Dedede,3.0,{'3': 3},
54,Olimar,3.0,{'3': 3},
54,Robin,3.0,{'3': 3},
54,Sephiroth,3.0,{'3': 3},
54,Mii Swordsman,3.0,{'3': 3},
63,Kirby,2.0,{'2': 3},
63,Wario,2.0,{'2': 6},
63,Ryu,2.0,{'2': 3},
63,Ridley,2.0,{'2': 3},
63,Kazuya,2.0,{'2': 3},
68,Snake,1.0,{'1': 3},
68,Mii Gunner,1.0,{'1': 3},
70,Dark Samus,0.0,{'0': 2},
70,Yoshi,0.0,{'0': 4},
70,Mewtwo,0.0,{'0': 3},
70,Chrom,0.0,{'0': 2},
70,Zero Suit Samus,0.0,{'0': 1},
70,Pokemon Trainer,0.0,{'0': 3},
70,Lucario,0.0,{'0': 2},
70,ROB,0.0,{'0': 1},
70,Toon Link,0.0,{'0': 13},
70,Wii Fit Trainer,0.0,{'0': 9},
70,Rosalina and Luma,0.0,{'0': 5},
70,Greninja,0.0,{'0': 5},
70,Duck Hunt,0.0,{'0': 9},
70,Ken,0.0,{'0': 8},
70,Min Min,0.0,{'0': 6},
70,Mii Brawler,0.0,{'0': 8},
