rank,character,read_value,candidates,correct
1,Bowser,152.0,{'152': 3},
2,Hero,92.0,"{'92': 2, '52': 1}",
3,Joker,51.0,{'51': 1},
4,Link,9.0,{'9': 2},
5,Mii Gunner,6.0,{'6': 3},
6,Mii Swordsman,4.0,{'4': 3},
7,Donkey Kong,2.0,{'2': 3},
7,Captain Falcon,2.0,{'2': 3},
7,Zelda,2.0,{'2': 3},
7,Ganondorf,2.0,{'2': 3},
7,Pokemon Trainer,2.0,{'2': 3},
7,Toon Link,2.0,{'2': 3},
7,Wii Fit Trainer,2.0,{'2': 3},
7,Mii Brawler,2.0,{'2': 3},
15,Lucina,1.0,{'1': 3},
15,Young Link,1.0,{'1': 3},
15,King Dedede,1.0,{'1': 3},
15,Robin,1.0,{'1': 3},
15,Shulk,1.0,{'1': 3},
15,Byleth,1.0,{'1': 3},
21,Samus,0.0,{'0': 3},
21,Fox,0.0,{'0': 1},
21,Pikachu,0.0,{'0': 4},
21,Peach,0.0,{'0': 2},
21,Sheik,0.0,{'0': 2},
21,Dr Mario,0.0,{'0': 2},
21,Falco,0.0,{'0': 2},
21,Marth,0.0,{'0': 3},
21,Roy,0.0,{'0': 1},
21,Meta Knight,0.0,{'0': 3},
21,Pit,0.0,{'0': 1},
21,Zero Suit Samus,0.0,{'0': 1},
21,Wario,0.0,{'0': 1},
21,Sonic,0.0,"{'0': 1, '8': 1}",
21,Olimar,0.0,{'0': 3},
21,Sephiroth,0.0,{'0': 3},
21,Mega Man,0.0,{'0': 2},
21,Greninja,0.0,{'0': 2},
21,Ryu,0.0,{'0': 2},
21,Corrin,0.0,{'0': 2},
21,Bayonetta,0.0,{'0': 1},
21,Ridley,0.0,{'0': 2},
21,King K Rool,0.0,{'0': 2},
21,Piranha Plant,0.0,{'0': 2},
21,Banjo and Kazooie,0.0,{'0': 1},
21,Terry,0.0,{'0': 2},
21,Mario,0.0,{'0': 1},
21,Dark Samus,0.0,{'0': 1},
21,Yoshi,0.0,"{'0': 2, '6': 1}",
21,Kirby,0.0,{'0': 1},
21,Luigi,0.0,{'0': 1},
21,Ness,0.0,{'0': 2},
21,Jigglypuff,0.0,{'0': 2},
21,Daisy,0.0,{'0': 3},
21,Ice Climbers,0.0,{'0': 1},
21,Pichu,0.0,{'0': 1},
21,Mewtwo,0.0,{'0': 1},
21,Chrom,0.0,{'0': 1},
21,Mr Game and Watch,0.0,{'0': 2},
21,Dark Pit,0.0,{'0': 2},
21,Snake,0.0,{'0': 2},
21,Ike,0.0,{'0': 3},
21,Diddy Kong,0.0,{'0': 1},
21,Lucas,0.0,{'0': 1},
21,Lucario,0.0,{'0': 1},
21,ROB,0.0,{'0': 2},
21,Villager,0.0,{'0': 2},
21,Rosalina and Luma,0.0,{'0': 3},
21,Little Mac,0.0,{'0': 2},
21,Palutena,0.0,{'0': 1},
21,Pac-Man,0.0,{'0': 2},
21,Bowser Jr,0.0,{'0': 2},
21,Duck Hunt,0.0,"{'0': 3, '8': 1}",
21,Ken,0.0,{'0': 2},
21,Cloud,0.0,{'0': 2},
21,Inkling,0.0,{'0': 1},
21,Simon,0.0,{'0': 3},
21,Richter,0.0,{'0': 2},
21,Isabelle,0.0,{'0': 5},
21,Incineroar,0.0,{'0': 2},
21,Min Min,0.0,{'0': 1},
21,Steve,0.0,{'0': 2},
21,Pyra-Mythra,0.0,{'0': 2},
21,Kazuya,0.0,{'0': 1},
21,Sora,0.0,{'0': 1},
