rank,character,read_value,candidates,correct
1,Donkey Kong,192.0,{'192': 3},
2,Ganondorf,179.0,{'179': 3},
3,Kazuya,159.0,{'159': 3},
4,Captain Falcon,142.0,{'142': 3},
5,Ness,105.0,{'105': 3},
6,Byleth,99.0,{'99': 3},
7,Little Mac,74.0,"{'14': 2, '4': 2, '74': 2}",
8,Ike,73.0,{'73': 6},
9,Incineroar,61.0,{'61': 3},
10,Villager,50.0,"{'90': 2, '50': 1}",
11,Jigglypuff,36.0,{'36': 3},
12,Wolf,33.0,{'33': 3},
13,Lucas,19.0,{'19': 3},
14,Joker,17.0,"{'17': 4, '7': 2}",
15,Roy,15.0,{'15': 3},
16,Mii Swordsman,14.0,{'14': 3},
17,Snake,13.0,{'13': 3},
17,Steve,13.0,{'13': 3},
19,Kirby,12.0,{'12': 3},
19,Terry,12.0,{'12': 3},
21,Hero,11.0,{'11': 4},
22,Bowser,8.0,{'8': 3},
22,King Dedede,8.0,{'8': 2},
24,Samus,6.0,{'6': 3},
24,Mega Man,6.0,{'6': 3},
26,Yoshi,5.0,"{'2': 2, '5': 1}",
27,Luigi,4.0,{'4': 3},
27,Cloud,4.0,{'4': 6},
29,Diddy Kong,3.0,{'3': 3},
29,Shulk,3.0,{'3': 3},
29,Ryu,3.0,{'3': 3},
29,King K Rool,3.0,{'3': 3},
29,Min Min,3.0,{'3': 3},
29,Pyra-Mythra,3.0,{'3': 3},
35,Ice Climbers,2.0,{'2': 6},
35,Sheik,2.0,{'2': 3},
35,Mewtwo,2.0,{'2': 3},
35,Pit,2.0,{'2': 3},
35,Pokemon Trainer,2.0,{'2': 3},
35,Lucario,2.0,{'2': 3},
35,Wii Fit Trainer,2.0,{'2': 3},
35,Piranha Plant,2.0,{'2': 3},
35,Sephiroth,2.0,{'2': 3},
35,Sora,2.0,{'2': 3},
45,Mario,1.0,{'1': 3},
45,Dark Samus,1.0,{'1': 3},
45,Fox,1.0,{'1': 3},
45,Pikachu,1.0,{'1': 3},
45,Pichu,1.0,{'1': 3},
45,Marth,1.0,{'1': 3},
45,Lucina,1.0,{'1': 3},
45,Mr Game and Watch,1.0,{'1': 3},
45,Zero Suit Samus,1.0,{'1': 3},
45,Wario,1.0,{'1': 3},
45,Sonic,1.0,{'1': 3},
45,Greninja,1.0,{'1': 3},
45,Pac-Man,1.0,{'1': 3},
45,Bowser Jr,1.0,{'1': 3},
45,Duck Hunt,1.0,{'1': 3},
45,Bayonetta,1.0,{'1': 3},
45,Isabelle,1.0,{'1': 3},
62,Link,0.0,{'0': 1},
62,Peach,0.0,{'0': 2},
62,Daisy,0.0,{'0': 4},
62,Zelda,0.0,{'0': 1},
62,Dr Mario,0.0,{'0': 1},
62,Falco,0.0,{'0': 2},
62,Young Link,0.0,{'0': 1},
62,Chrom,0.0,{'0': 2},
62,Meta Knight,0.0,{'0': 2},
62,Dark Pit,0.0,{'0': 2},
62,Olimar,0.0,{'0': 3},
62,ROB,0.0,{'0': 2},
62,Toon Link,0.0,{'0': 2},
62,Rosalina and Luma,0.0,{'0': 3},
62,Palutena,0.0,{'0': 3},
62,Robin,0.0,{'0': 1},
62,Ken,0.0,{'0': 3},
62,Corrin,0.0,{'0': 5},
62,Inkling,0.0,{'0': 3},
62,Ridley,0.0,{'0': 4},
62,Simon,0.0,{'0': 3},
62,Richter,0.0,{'0': 4},
62,Banjo and Kazooie,0.0,{'0': 4},
62,Mii Brawler,0.0,{'0': 2},
62,Mii Gunner,0.0,{'0': 2},
