rank,character,read_value,candidates,correct
1,Samus,153.0,{'153': 3},
2,Zero Suit Samus,29.0,"{'29': 2, '290': 1}",
3,Terry,26.0,{'26': 3},
4,Young Link,21.0,"{'21': 2, '2': 1}",
5,Donkey Kong,20.0,"{'20': 2, '200': 1}",
5,Ike,20.0,"{'20': 2, '200': 1}",
7,Captain Falcon,18.0,{'18': 3},
7,Ridley,18.0,{'18': 6},
9,Dark Samus,9.0,{'9': 1},
9,Cloud,9.0,{'9': 2},
9,Banjo and Kazooie,9.0,{'9': 2},
9,Marth,9.0,"{'9': 2, '5': 1}",
9,ROB,9.0,"{'9': 2, '5': 1}",
14,Falco,8.0,{'8': 3},
15,Hero,4.0,{'4': 3},
16,Link,3.0,{'3': 3},
16,Ness,3.0,{'3': 3},
16,Ganondorf,3.0,{'3': 3},
16,Pit,3.0,{'3': 3},
16,Diddy Kong,3.0,{'3': 3},
16,Toon Link,3.0,{'3': 3},
16,Wii Fit Trainer,3.0,{'3': 3},
16,Little Mac,3.0,{'3': 3},
16,Simon,3.0,"{'5': 2, '3': 1}",
16,Isabelle,3.0,{'3': 3},
16,Sora,3.0,{'3': 3},
27,Peach,2.0,{'2': 3},
27,Daisy,2.0,{'2': 3},
27,Sheik,2.0,{'2': 3},
27,Pichu,2.0,{'2': 3},
27,Lucina,2.0,{'2': 3},
27,Rosalina and Luma,2.0,{'2': 3},
27,King K Rool,2.0,{'2': 3},
27,Pyra-Mythra,2.0,{'2': 3},
35,Yoshi,1.0,{'1': 3},
35,Olimar,1.0,{'1': 3},
35,Joker,1.0,{'1': 3},
35,Steve,1.0,{'1': 3},
39,Wario,0.0,{'0': 1},
39,Palutena,0.0,{'0': 1},
39,Incineroar,0.0,{'0': 1},
39,Mario,0.0,{'0': 1},
39,Kirby,0.0,{'0': 2},
39,Fox,0.0,{'0': 2},
39,Pikachu,0.0,{'0': 1},
39,Luigi,0.0,{'0': 1},
39,Jigglypuff,0.0,{'0': 2},
39,Bowser,0.0,{'0': 1},
39,Ice Climbers,0.0,{'0': 2},
39,Zelda,0.0,{'0': 2},
39,Dr Mario,0.0,{'0': 2},
39,Mewtwo,0.0,{'0': 2},
39,Roy,0.0,{'0': 2},
39,Chrom,0.0,{'0': 3},
39,Mr Game and Watch,0.0,{'0': 1},
39,Meta Knight,0.0,{'0': 1},
39,Dark Pit,0.0,{'0': 2},
39,Snake,0.0,{'0': 1},
39,Pokemon Trainer,0.0,{'0': 2},
39,Lucas,0.0,{'0': 1},
39,Sonic,0.0,{'0': 2},
39,King Dedede,0.0,{'0': 1},
39,Lucario,0.0,{'0': 2},
39,Sephiroth,0.0,{'0': 2},
39,Villager,0.0,{'0': 2},
39,Mega Man,0.0,{'0': 1},
39,Greninja,0.0,{'0': 1},
39,Pac-Man,0.0,{'0': 3},
39,Robin,0.0,{'0': 2},
39,Shulk,0.0,{'0': 2},
39,Bowser Jr,0.0,{'0': 3},
39,Duck Hunt,0.0,{'0': 1},
39,Ryu,0.0,{'0': 1},
39,Ken,0.0,{'0': 4},
39,Corrin,0.0,{'0': 2},
39,Bayonetta,0.0,{'0': 2},
39,Inkling,0.0,{'0': 1},
39,Richter,0.0,{'0': 1},
39,Piranha Plant,0.0,{'0': 4},
39,Byleth,0.0,{'0': 2},
39,Min Min,0.0,{'0': 3},
39,Kazuya,0.0,{'0': 1},
39,Mii Brawler,0.0,{'0': 2},
39,Mii Swordsman,0.0,{'0': 1},
39,Mii Gunner,0.0,{'0': 2},
