rank,character,read_value,candidates,correct
1,Wolf,1008.0,"{'1008': 3, '6': 3}",
2,King K Rool,826.0,{'826': 3},
3,ROB,554.0,"{'954': 2, '554': 1}",
4,Hero,487.0,{'487': 3},
5,Incineroar,369.0,{'369': 3},
6,Mewtwo,287.0,{'287': 3},
7,Diddy Kong,244.0,{'244': 3},
8,Bowser,229.0,{'229': 6},
9,Wii Fit Trainer,220.0,{'220': 3},
10,Donkey Kong,87.0,"{'7': 2, '87': 1}",
11,Snake,80.0,{'80': 3},
12,Kazuya,79.0,{'79': 3},
13,Bayonetta,52.0,{'52': 3},
14,Ganondorf,44.0,"{'4': 2, '44': 1}",
15,Banjo and Kazooie,28.0,{'28': 3},
16,Samus,17.0,"{'17': 2, '7': 1}",
16,Captain Falcon,17.0,"{'17': 2, '7': 1}",
18,Ridley,15.0,{'15': 3},
19,Inkling,13.0,{'13': 3},
20,Byleth,12.0,{'12': 3},
21,Cloud,11.0,{'11': 2},
21,Sora,11.0,{'11': 2},
23,Villager,10.0,{'10': 3},
23,Richter,10.0,"{'10': 2, '100': 1}",
23,Piranha Plant,10.0,"{'10': 2, '100': 1}",
26,Pokemon Trainer,8.0,{'8': 2},
27,Link,7.0,{'7': 1},
27,Roy,7.0,{'7': 1},
27,Little Mac,7.0,{'7': 1},
27,Sephiroth,7.0,{'7': 1},
31,Terry,6.0,{'6': 3},
31,Mii Gunner,6.0,{'6': 3},
33,Luigi,5.0,{'5': 1},
33,Simon,5.0,{'5': 1},
35,Mario,4.0,{'4': 3},
35,Kirby,4.0,{'4': 3},
35,Ice Climbers,4.0,{'4': 3},
35,Pichu,4.0,{'4': 3},
35,Ike,4.0,{'4': 3},
35,Greninja,4.0,{'4': 3},
35,Ryu,4.0,{'4': 3},
42,Zero Suit Samus,3.0,{'3': 3},
42,Sonic,3.0,{'3': 3},
42,Palutena,3.0,{'3': 3},
42,Joker,3.0,{'3': 1},
46,Yoshi,2.0,{'2': 3},
46,Mr Game and Watch,2.0,{'2': 3},
46,Lucas,2.0,{'2': 3},
46,Bowser Jr,2.0,{'2': 3},
50,Ness,1.0,{'1': 3},
50,Jigglypuff,1.0,{'1': 3},
50,Peach,1.0,{'1': 3},
50,Zelda,1.0,{'1': 3},
50,Marth,1.0,{'1': 3},
50,Lucario,1.0,{'1': 3},
50,Toon Link,1.0,{'1': 3},
50,Mega Man,1.0,{'1': 3},
50,Duck Hunt,1.0,{'1': 3},
50,Corrin,1.0,{'1': 3},
50,Min Min,1.0,{'1': 3},
50,Steve,1.0,{'1': 3},
62,Fox,0.0,{'0': 1},
62,Pikachu,0.0,{'0': 3},
62,Falco,0.0,{'0': 2},
62,Lucina,0.0,{'0': 1},
62,Young Link,0.0,{'0': 2},
62,Pac-Man,0.0,{'0': 2},
62,Robin,0.0,{'0': 1},
62,Ken,0.0,{'0': 1},
62,Dark Samus,0.0,{'0': 3},
62,Daisy,0.0,{'0': 3},
62,Sheik,0.0,{'0': 1},
62,Dr Mario,0.0,{'0': 2},
62,Chrom,0.0,{'0': 3},
62,Meta Knight,0.0,{'0': 1},
62,Pit,0.0,{'0': 1},
62,Dark Pit,0.0,{'0': 3},
62,King Dedede,0.0,{'0': 8},
62,Olimar,0.0,{'0': 10},
62,Rosalina and Luma,0.0,{'0': 8},
62,Shulk,0.0,{'0': 4},
62,Isabelle,0.0,{'0': 11},
62,Pyra-Mythra,0.0,{'0': 9},
62,Mii Brawler,0.0,{'0': 7},
62,Mii Swordsman,0.0,{'0': 8},
