rank,character,read_value,candidates,correct
1,Donkey Kong,69.0,{'69': 3},
2,Chrom,39.0,{'39': 3},
3,Cloud,35.0,{'35': 6},
4,Pyra-Mythra,33.0,{'33': 6},
5,Link,21.0,"{'21': 5, '2': 1}",
6,Kazuya,17.0,"{'17': 4, '7': 2}",
7,Ike,15.0,{'15': 6},
8,Ganondorf,14.0,{'14': 6},
8,Corrin,14.0,{'14': 3},
10,Incineroar,11.0,{'11': 2},
10,Terry,11.0,{'11': 2},
12,Byleth,10.0,{'10': 3},
13,King K Rool,7.0,{'7': 3},
14,Bowser,6.0,{'6': 3},
14,Roy,6.0,{'6': 3},
16,Dark Samus,5.0,"{'9': 2, '5': 1}",
16,Captain Falcon,5.0,"{'5': 4, '2': 2}",
18,ROB,4.0,{'4': 3},
18,Sephiroth,4.0,{'4': 3},
20,Min Min,3.0,{'3': 3},
21,Jigglypuff,2.0,{'2': 3},
21,Young Link,2.0,{'2': 3},
21,Dark Pit,2.0,{'2': 3},
21,Zero Suit Samus,2.0,{'2': 6},
21,Wario,2.0,{'2': 3},
21,Pokemon Trainer,2.0,{'2': 3},
21,Wolf,2.0,{'2': 3},
21,Rosalina and Luma,2.0,{'2': 3},
21,Greninja,2.0,{'2': 3},
21,Palutena,2.0,{'2': 3},
21,Pac-Man,2.0,{'2': 3},
21,Ridley,2.0,{'2': 3},
21,Simon,2.0,{'2': 3},
21,Hero,2.0,{'2': 3},
35,Mario,1.0,{'1': 3},
35,Samus,1.0,{'1': 3},
35,Yoshi,1.0,{'1': 3},
35,Fox,1.0,{'1': 3},
35,Daisy,1.0,{'1': 3},
35,Ice Climbers,1.0,{'1': 3},
35,Sheik,1.0,{'1': 3},
35,Zelda,1.0,{'1': 3},
35,Dr Mario,1.0,{'1': 3},
35,Pichu,1.0,{'1': 3},
35,Lucina,1.0,{'1': 3},
35,Mewtwo,1.0,{'1': 3},
35,Pit,1.0,{'1': 3},
35,Snake,1.0,{'1': 3},
35,Lucas,1.0,{'1': 3},
35,Toon Link,1.0,{'1': 3},
35,Mega Man,1.0,{'1': 3},
35,Wii Fit Trainer,1.0,{'1': 3},
35,Robin,1.0,{'1': 3},
35,Shulk,1.0,{'1': 3},
35,Bowser Jr,1.0,{'1': 3},
35,Bayonetta,1.0,{'1': 3},
35,Richter,1.0,{'1': 3},
35,Isabelle,1.0,{'1': 3},
35,Joker,1.0,{'1': 3},
35,Sora,1.0,{'1': 3},
61,Pikachu,0.0,{'0': 1},
61,Peach,0.0,{'0': 1},
61,Falco,0.0,{'0': 2},
61,Marth,0.0,{'0': 2},
61,Mr Game and Watch,0.0,{'0': 2},
61,Meta Knight,0.0,{'0': 2},
61,Diddy Kong,0.0,{'0': 2},
61,Sonic,0.0,{'0': 1},
61,King Dedede,0.0,{'0': 2},
61,Olimar,0.0,{'0': 1},
61,Little Mac,0.0,{'0': 1},
61,Duck Hunt,0.0,{'0': 2},
61,Ryu,0.0,{'0': 3},
61,Ken,0.0,{'0': 2},
61,Piranha Plant,0.0,{'0': 5},
61,Steve,0.0,{'0': 3},
61,Mii Brawler,0.0,{'0': 1},
61,Kirby,0.0,{'0': 2},
61,Luigi,0.0,{'0': 2},
61,Ness,0.0,{'0': 3},
61,Lucario,0.0,{'0': 3},
61,Villager,0.0,{'0': 3},
61,Inkling,0.0,{'0': 1},
61,Banjo and Kazooie,0.0,{'0': 2},
61,Mii Swordsman,0.0,{'0': 1},
61,Mii Gunner,0.0,{'0': 2},
