rank,character,read_value,candidates,correct
1,Zelda,24.0,{'24': 3},
2,Little Mac,6.0,{'6': 3},
3,Captain Falcon,5.0,{'5': 3},
4,Pikachu,3.0,{'3': 3},
4,Luigi,3.0,{'3': 3},
4,King Dedede,3.0,{'3': 3},
4,Hero,3.0,{'3': 3},
8,Donkey Kong,2.0,{'2': 3},
8,Kirby,2.0,{'2': 3},
8,Fox,2.0,{'2': 3},
8,Bowser,2.0,{'2': 3},
8,Falco,2.0,{'2': 3},
8,Ganondorf,2.0,{'2': 3},
8,Mewtwo,2.0,{'2': 3},
8,Zero Suit Samus,2.0,{'2': 3},
8,Diddy Kong,2.0,{'2': 3},
8,Sonic,2.0,{'2': 3},
8,Toon Link,2.0,{'2': 3},
8,Bowser Jr,2.0,{'2': 3},
20,Samus,1.0,{'1': 3},
20,Peach,1.0,{'1': 3},
20,Sheik,1.0,{'1': 3},
20,Young Link,1.0,{'1': 6},
20,Roy,1.0,{'1': 3},
20,Wolf,1.0,"{'1': 3, '0': 1}",
20,Snake,1.0,{'1': 3},
20,Lucario,1.0,{'1': 3},
20,ROB,1.0,{'1': 3},
20,Pac-Man,1.0,{'1': 3},
20,Duck Hunt,1.0,{'1': 6},
20,Ryu,1.0,{'1': 3},
20,Ridley,1.0,{'1': 3},
20,Incineroar,1.0,{'1': 3},
20,Joker,1.0,{'1': 3},
20,Terry,1.0,{'1': 3},
20,Kazuya,1.0,{'1': 3},
37,Mario,0.0,{'0': 4},
37,Link,0.0,{'0': 2},
37,Dark Samus,0.0,{'0': 1},
37,Yoshi,0.0,{'0': 1},
37,Ness,0.0,{'0': 3},
37,Jigglypuff,0.0,{'0': 2},
37,Daisy,0.0,{'0': 1},
37,Ice Climbers,0.0,{'0': 5},
37,Dr Mario,0.0,{'0': 3},
37,Pichu,0.0,{'0': 1},
37,Marth,0.0,{'0': 1},
37,Lucina,0.0,{'0': 3},
37,Chrom,0.0,{'0': 2},
37,Mr Game and Watch,0.0,{'0': 2},
37,Pit,0.0,{'0': 2},
37,Dark Pit,0.0,{'0': 3},
37,Wario,0.0,{'0': 1},
37,Ike,0.0,{'0': 2},
37,Pokemon Trainer,0.0,{'0': 2},
37,Lucas,0.0,{'0': 3},
37,Olimar,0.0,{'0': 1},
37,Villager,0.0,{'0': 3},
37,Mega Man,0.0,{'0': 3},
37,Wii Fit Trainer,0.0,{'0': 2},
37,Rosalina and Luma,0.0,{'0': 2},
37,Greninja,0.0,{'0': 2},
37,Palutena,0.0,{'0': 3},
37,Robin,0.0,{'0': 1},
37,Shulk,0.0,{'0': 2},
37,Ken,0.0,{'0': 1},
37,Cloud,0.0,{'0': 1},
37,Corrin,0.0,{'0': 1},
37,Bayonetta,0.0,{'0': 1},
37,Inkling,0.0,{'0': 2},
37,Simon,0.0,{'0': 2},
37,Richter,0.0,{'0': 2},
37,King K Rool,0.0,{'0': 1},
37,Isabelle,0.0,{'0': 2},
37,Piranha Plant,0.0,{'0': 1},
37,Banjo and Kazooie,0.0,{'0': 1},
37,Byleth,0.0,{'0': 3},
37,Min Min,0.0,{'0': 3},
37,Steve,0.0,{'0': 4},
37,Sephiroth,0.0,{'0': 3},
37,Pyra-Mythra,0.0,{'0': 1},
37,Sora,0.0,{'0': 2},
37,Mii Brawler,0.0,{'0': 1},
37,Mii Swordsman,0.0,{'0': 3},
37,Mii Gunner,0.0,{'0': 1},
